period,ratio
2017-03-23,64.70745
2017-03-24,67.55169
2017-03-25,79.45581
2017-03-26,100.0
2017-03-27,39.66397
2017-03-28,28.44243
2017-03-29,27.78698
2017-03-30,21.80016
2017-03-31,26.45032
2017-04-01,28.35058
2017-04-02,24.51291
2017-04-03,13.60017
2017-04-04,10.51344
2017-04-05,10.20919
2017-04-06,9.51499
2017-04-07,10.02709
2017-04-08,15.07904
2017-04-09,12.18147
2017-04-10,7.41827
2017-04-11,6.29585
2017-04-12,5.32725
2017-04-13,4.57335
2017-04-14,5.28236
2017-04-15,10.60916
2017-04-16,5.55516
2017-04-17,4.28801
2017-04-18,3.51861
2017-04-19,3.13071
2017-04-20,3.35839
2017-04-21,4.86894
2017-04-22,4.44002
2017-04-23,23.69974
