period,ratio
2018-01-31,49.21643
2018-02-01,79.43978
2018-02-02,96.48565
2018-02-03,100.0
2018-02-04,79.68969
2018-02-05,59.29608
2018-02-06,68.18868
2018-02-07,88.18659
2018-02-08,63.71114
2018-02-09,45.75935
2018-02-10,61.67543
2018-02-11,44.32238
2018-02-12,26.55281
2018-02-13,30.85854
2018-02-14,24.8399
2018-02-15,27.17238
2018-02-16,16.0202
2018-02-17,17.44155
2018-02-18,14.00531
2018-02-19,2.32727
2018-02-20,0.65601
2018-02-21,0.58312
2018-02-22,0.5727
2018-02-23,0.53105
2018-02-24,0.60915
2018-02-25,1.03608
2018-02-26,0.47378
2018-02-27,0.33841
2018-02-28,0.47899
