period,ratio
2017-02-16,77.42459
2017-02-17,78.32102
2017-02-18,100.0
2017-02-19,87.48058
2017-02-20,59.65836
2017-02-21,56.72674
2017-02-22,55.25387
2017-02-23,52.01637
2017-02-24,51.97167
2017-02-25,58.8184
2017-02-26,56.64909
2017-02-27,53.15514
2017-02-28,53.59041
2017-03-01,52.17636
2017-03-02,20.27198
2017-03-03,20.44844
2017-03-04,35.31127
2017-03-05,31.66439
2017-03-06,13.15232
2017-03-07,11.45828
2017-03-08,10.49832
2017-03-09,10.38304
2017-03-10,12.38765
2017-03-11,21.83426
2017-03-12,21.24605
2017-03-13,8.32666
2017-03-14,8.06079
2017-03-15,7.45376
2017-03-16,6.97378
