period,ratio
2017-05-31,100.0
2017-06-01,22.16809
2017-06-02,20.56523
2017-06-03,34.97155
2017-06-04,25.59791
2017-06-05,14.04408
2017-06-06,14.39412
2017-06-07,7.0818
2017-06-08,4.17608
2017-06-09,3.96653
2017-06-10,4.65099
2017-06-11,3.75804
2017-06-12,2.44043
2017-06-13,1.97471
2017-06-14,1.89067
2017-06-15,1.60671
2017-06-16,1.37983
2017-06-17,1.83294
2017-06-18,2.01747
2017-06-19,1.15147
2017-06-20,1.07235
2017-06-21,0.86472
2017-06-22,2.02453
2017-06-23,2.95255
2017-06-24,4.01164
2017-06-25,9.99929
2017-06-26,15.28878
2017-06-27,12.57978
2017-06-28,9.38047
2017-06-29,7.1885
2017-06-30,6.30603
