period,ratio
2017-07-06,57.97695
2017-07-07,61.80537
2017-07-08,62.56081
2017-07-09,50.3201
2017-07-10,40.92189
2017-07-11,38.29705
2017-07-12,28.79641
2017-07-13,21.24199
2017-07-14,19.85915
2017-07-15,21.24199
2017-07-16,18.23303
2017-07-17,15.40332
2017-07-18,12.41997
2017-07-19,12.88092
2017-07-20,9.53905
2017-07-21,10.12804
2017-07-22,9.59026
2017-07-23,8.86043
2017-07-24,8.41229
2017-07-25,8.19462
2017-07-26,7.22151
2017-07-27,6.61971
2017-07-28,14.60947
2017-07-29,36.54289
2017-07-30,27.13188
2017-07-31,100.0
2017-08-01,66.17157
2017-08-02,42.48399
2017-08-03,33.1498
2017-08-04,25.27528
2017-08-05,27.09346
2017-08-06,26.23559
