period,ratio
2017-05-25,66.46971
2017-05-26,91.95697
2017-05-27,73.03002
2017-05-28,100.0
2017-05-29,64.61609
2017-05-30,28.54808
2017-05-31,25.90251
2017-06-01,19.74136
2017-06-02,20.18578
2017-06-03,26.08994
2017-06-04,29.12798
2017-06-05,22.10624
2017-06-06,23.94772
2017-06-07,12.90098
2017-06-08,10.00024
2017-06-09,9.41517
2017-06-10,13.66375
2017-06-11,11.42403
2017-06-12,6.64596
2017-06-13,18.57882
2017-06-14,7.0673
2017-06-15,19.01473
2017-06-16,5.78355
2017-06-17,7.35437
2017-06-18,6.22706
2017-06-19,15.62553
2017-06-20,4.24463
2017-06-21,3.62706
2017-06-22,3.44236
2017-06-23,3.51193
2017-06-24,4.80692
2017-06-25,4.33485
