period,ratio
2017-09-14,16.13168
2017-09-15,17.10539
2017-09-16,100.0
2017-09-17,16.81523
2017-09-18,15.09799
2017-09-19,10.84745
2017-09-20,9.98535
2017-09-21,6.13238
2017-09-22,7.89007
2017-09-23,6.84801
2017-09-24,5.55346
2017-09-25,4.24356
2017-09-26,3.43028
2017-09-27,2.94343
2017-09-28,21.60982
2017-09-29,40.09625
2017-09-30,33.37657
2017-10-01,29.62265
2017-10-02,22.71325
2017-10-03,18.15442
2017-10-04,16.51112
2017-10-05,15.1245
2017-10-06,15.44116
2017-10-07,12.63723
2017-10-08,12.52563
2017-10-09,11.60912
2017-10-10,6.69456
2017-10-11,6.87173
2017-10-12,14.44932
2017-10-13,9.01862
2017-10-14,12.3108
