period,ratio
2017-03-30,10.42901
2017-03-31,11.45006
2017-04-01,10.99686
2017-04-02,10.96462
2017-04-03,9.31661
2017-04-04,8.7004
2017-04-05,9.26824
2017-04-06,8.40841
2017-04-07,7.81728
2017-04-08,7.82803
2017-04-09,100.0
2017-04-10,9.16793
2017-04-11,77.01925
2017-04-12,8.10389
2017-04-13,6.77653
2017-04-14,12.36901
2017-04-15,15.19032
2017-04-16,17.64979
2017-04-17,13.76623
2017-04-18,10.28392
2017-04-19,8.49798
2017-04-20,8.19525
2017-04-21,7.51813
2017-04-22,8.46574
2017-04-23,8.14509
2017-04-24,5.84505
2017-04-25,5.23242
2017-04-26,4.89386
2017-04-27,4.25615
2017-04-28,4.01612
2017-04-29,4.52127
2017-04-30,5.15539
