period,ratio
2017-02-15,76.9409
2017-02-16,56.89455
2017-02-17,62.34067
2017-02-18,44.03244
2017-02-19,38.7022
2017-02-20,34.41483
2017-02-21,32.32908
2017-02-22,17.4971
2017-02-23,11.58748
2017-02-24,63.49942
2017-02-25,100.0
2017-02-26,58.5168
2017-02-27,46.92931
2017-02-28,33.48783
2017-03-01,29.43221
2017-03-02,19.46697
2017-03-03,18.77172
2017-03-04,19.8146
2017-03-05,22.24797
2017-03-06,13.20973
2017-03-07,10.77636
2017-03-08,10.54461
2017-03-09,11.23986
2017-03-10,10.54461
2017-03-11,14.48435
2017-03-12,14.13673
2017-03-13,7.53186
2017-03-14,6.25724
2017-03-15,7.30011
