period,ratio
2017-11-15,100.0
2017-11-16,22.55647
2017-11-17,19.07735
2017-11-18,40.58094
2017-11-19,17.70016
2017-11-20,12.78747
2017-11-21,11.25195
2017-11-22,9.41411
2017-11-23,6.00985
2017-11-24,5.42559
2017-11-25,6.74671
2017-11-26,6.13409
2017-11-27,3.91843
2017-11-28,4.14939
2017-11-29,4.93276
2017-11-30,3.3227
2017-12-01,18.88875
2017-12-02,24.06873
2017-12-03,20.48607
2017-12-04,12.57689
2017-12-05,8.49694
2017-12-06,6.96716
2017-12-07,4.96366
2017-12-08,4.53168
2017-12-09,5.26089
2017-12-10,5.5132
2017-12-11,3.20929
2017-12-12,2.78463
2017-12-13,2.6537
2017-12-14,2.42687
2017-12-15,2.65848
