period,ratio
2017-09-28,44.2569
2017-09-29,59.18456
2017-09-30,82.90223
2017-10-01,99.71503
2017-10-02,98.02718
2017-10-03,79.15387
2017-10-04,78.80315
2017-10-05,96.0982
2017-10-06,100.0
2017-10-07,85.77378
2017-10-08,79.15387
2017-10-09,68.39105
2017-10-10,23.49846
2017-10-11,15.01534
2017-10-12,15.1907
2017-10-13,17.84305
2017-10-14,24.41911
2017-10-15,19.04866
2017-10-16,9.64489
2017-10-17,7.40903
2017-10-18,8.37352
2017-10-19,10.54362
2017-10-20,14.88382
2017-10-21,22.46821
2017-10-22,19.5309
2017-10-23,9.60105
2017-10-24,6.68566
2017-10-25,6.6199
2017-10-26,6.70758
2017-10-27,9.1188
2017-10-28,12.77948
