period,ratio
2017-12-14,100.0
2017-12-15,42.3565
2017-12-16,36.12633
2017-12-17,31.69887
2017-12-18,46.13498
2017-12-19,41.93106
2017-12-20,70.86097
2017-12-21,46.38015
2017-12-22,45.08941
2017-12-23,47.23103
2017-12-24,47.25987
2017-12-25,34.3813
2017-12-26,50.70666
2017-12-27,28.75685
2017-12-28,22.64926
2017-12-29,23.37755
2017-12-30,18.17854
2017-12-31,11.07585
2018-01-01,11.55177
2018-01-02,16.87337
2018-01-03,20.6807
2018-01-04,9.48226
2018-01-05,6.43928
2018-01-06,17.13296
2018-01-07,12.91462
2018-01-08,1.88203
2018-01-09,0.09374
2018-01-10,0.04326
2018-01-12,0.04326
2018-01-14,0.0721
