period,ratio
2017-02-15,100.0
2017-02-16,22.10951
2017-02-17,18.55581
2017-02-18,26.87521
2017-02-19,21.8352
2017-02-20,12.53573
2017-02-21,11.28072
2017-02-22,11.55289
2017-02-23,10.10378
2017-02-24,10.50205
2017-02-25,12.0384
2017-02-26,11.18593
2017-02-27,7.41664
2017-02-28,7.29847
2017-03-01,7.68165
2017-03-02,4.36782
2017-03-03,3.70002
2017-03-04,5.2673
2017-03-05,4.40817
2017-03-06,2.3198
2017-03-07,2.04109
2017-03-08,1.8436
2017-03-09,1.6334
2017-03-10,2.02349
2017-03-11,2.90375
2017-03-12,2.40403
2017-03-13,1.33885
2017-03-14,1.26192
2017-03-15,1.18385
