period,ratio
2017-03-23,18.19959
2017-03-24,76.53271
2017-03-25,100.0
2017-03-26,25.5797
2017-03-27,19.20135
2017-03-28,15.859
2017-03-29,24.07556
2017-03-30,12.87201
2017-03-31,14.79487
2017-04-01,16.94589
2017-04-02,14.85574
2017-04-03,11.09169
2017-04-04,8.85653
2017-04-05,8.8689
2017-04-06,7.96464
2017-04-07,8.22943
2017-04-08,9.4762
2017-04-09,8.97581
2017-04-10,6.26698
2017-04-11,5.39835
2017-04-12,6.26698
2017-04-13,4.55299
2017-04-14,5.17414
2017-04-15,5.66364
2017-04-16,5.37855
2017-04-17,4.55398
2017-04-18,3.90312
2017-04-19,4.11397
2017-04-20,3.42055
2017-04-21,3.6507
2017-04-22,4.43717
2017-04-23,4.04319
