period,ratio
2017-08-30,98.75767
2017-08-31,64.36804
2017-09-01,62.51156
2017-09-02,81.77178
2017-09-03,65.07473
2017-09-04,36.61067
2017-09-05,38.35216
2017-09-06,17.59724
2017-09-07,14.75924
2017-09-08,13.76931
2017-09-09,15.77441
2017-09-10,13.42718
2017-09-11,9.64132
2017-09-12,7.8858
2017-09-13,7.08657
2017-09-14,6.59861
2017-09-15,67.54536
2017-09-16,100.0
2017-09-17,79.77789
2017-09-18,45.13867
2017-09-19,35.70767
2017-09-20,27.54704
2017-09-21,25.44098
2017-09-22,24.38374
2017-09-23,29.04175
2017-09-24,30.25323
2017-09-25,19.96971
2017-09-26,15.58652
2017-09-27,14.84057
2017-09-28,12.08671
2017-09-29,13.01494
2017-09-30,16.43343
