period,ratio
2018-01-24,28.25559
2018-01-25,35.06131
2018-01-26,100.0
2018-01-27,55.59147
2018-01-28,41.38818
2018-01-29,29.96258
2018-01-30,23.45324
2018-01-31,24.05342
2018-02-01,15.40549
2018-02-02,13.57994
2018-02-03,16.36781
2018-02-04,13.17056
2018-02-05,6.47691
2018-02-06,4.73103
2018-02-07,5.42475
2018-02-08,2.89808
2018-02-09,2.14785
2018-02-10,2.14785
2018-02-11,1.84591
2018-02-12,1.54397
2018-02-13,19.77993
2018-02-14,65.14893
2018-02-15,54.61525
2018-02-16,42.44961
2018-02-17,39.98777
2018-02-18,35.11503
2018-02-19,23.27819
2018-02-20,17.92753
2018-02-21,12.9279
2018-02-22,9.40463
2018-02-23,8.15982
2018-02-24,10.56887
