period,ratio
2018-01-11,77.96128
2018-01-12,70.8401
2018-01-13,72.46895
2018-01-14,41.86011
2018-01-15,24.59305
2018-01-16,20.41528
2018-01-17,14.79506
2018-01-18,10.20439
2018-01-19,8.74135
2018-01-20,9.41001
2018-01-21,7.5525
2018-01-22,5.75351
2018-01-23,4.30782
2018-01-24,4.1355
2018-01-25,7.65871
2018-01-26,10.53384
2018-01-27,44.31259
2018-01-28,53.08212
2018-01-29,27.97537
2018-01-30,19.57431
2018-01-31,15.45614
2018-02-01,13.36671
2018-02-02,15.73357
2018-02-03,100.0
2018-02-04,35.4867
2018-02-05,18.40496
2018-02-06,14.09931
2018-02-07,10.88822
2018-02-08,10.00606
2018-02-09,9.81641
2018-02-10,32.46635
2018-02-11,17.36133
