period,ratio
2016-12-07,59.11928
2016-12-08,81.69024
2016-12-09,83.78339
2016-12-10,94.41427
2016-12-11,100.0
2016-12-12,92.72427
2016-12-13,72.46045
2016-12-14,65.16113
2016-12-15,63.99225
2016-12-16,66.07132
2016-12-17,77.65089
2016-12-18,82.82684
2016-12-19,70.62475
2016-12-20,59.36431
2016-12-21,50.14569
2016-12-22,49.286
2016-12-23,51.12459
2016-12-24,61.41069
2016-12-25,63.35607
2016-12-26,49.72019
2016-12-27,43.18744
2016-12-28,44.48381
2016-12-29,40.05745
2016-12-30,43.80458
2016-12-31,43.04174
2017-01-01,42.51814
2017-01-02,35.18613
2017-01-03,28.83964
2017-01-04,25.43232
2017-01-05,22.62187
2017-01-06,27.84708
2017-01-07,28.05197
