period,ratio
2017-03-23,13.69102
2017-03-24,27.96793
2017-03-25,44.52667
2017-03-26,36.46315
2017-03-27,36.06228
2017-03-28,37.03361
2017-03-29,100.0
2017-03-30,45.39007
2017-03-31,45.08171
2017-04-01,52.69811
2017-04-02,53.57693
2017-04-03,27.82917
2017-04-04,25.19272
2017-04-05,55.21122
2017-04-06,30.66604
2017-04-07,28.38421
2017-04-08,38.05118
2017-04-09,37.88159
2017-04-10,7.32346
2017-04-11,3.25316
2017-04-12,2.6827
2017-04-13,2.96022
2017-04-14,4.28615
2017-04-15,5.55041
2017-04-16,4.34782
2017-04-17,2.3435
2017-04-18,1.6497
2017-04-19,1.66512
2017-04-20,1.24884
2017-04-21,1.35676
2017-04-22,2.23558
2017-04-23,1.63428
