period,ratio
2017-06-29,100.0
2017-06-30,22.8912
2017-07-01,12.34613
2017-07-02,12.71865
2017-07-03,5.9508
2017-07-04,4.32694
2017-07-05,3.55727
2017-07-06,3.16717
2017-07-07,3.69839
2017-07-08,4.60489
2017-07-09,3.90321
2017-07-10,2.64792
2017-07-11,2.03117
2017-07-12,1.90773
2017-07-13,1.85997
2017-07-14,2.01263
2017-07-15,2.42642
2017-07-16,2.28297
2017-07-17,1.60325
2017-07-18,1.37898
2017-07-19,1.31004
2017-07-20,1.1672
2017-07-21,1.09748
2017-07-22,1.17947
2017-07-23,1.26042
2017-07-24,0.82221
2017-07-25,0.68235
2017-07-26,0.74939
2017-07-27,1.06658
2017-07-28,0.9705
2017-07-29,0.90222
