period,ratio
2017-04-28,1.48205
2017-04-29,12.01248
2017-04-30,21.97087
2017-05-01,37.05148
2017-05-02,20.69682
2017-05-03,90.1196
2017-05-04,65.2106
2017-05-05,49.06396
2017-05-06,44.25377
2017-05-07,44.61778
2017-05-08,38.97555
2017-05-09,46.67186
2017-05-10,32.42329
2017-05-11,31.22724
2017-05-12,30.94123
2017-05-13,37.90951
2017-05-14,38.35153
2017-05-15,40.0936
2017-05-16,72.49089
2017-05-17,50.46801
2017-05-18,100.0
2017-05-19,51.04004
2017-05-20,42.5117
2017-05-21,39.54758
2017-05-22,36.92147
