period,ratio
2017-11-15,100.0
2017-11-16,48.35799
2017-11-17,30.36116
2017-11-18,36.85322
2017-11-19,28.80364
2017-11-20,17.235
2017-11-21,11.25593
2017-11-22,9.70487
2017-11-23,8.12674
2017-11-24,8.14172
2017-11-25,11.07676
2017-11-26,9.20977
2017-11-27,5.71491
2017-11-28,4.55677
2017-11-29,4.0138
2017-11-30,4.80747
2017-12-01,3.31245
2017-12-02,4.04208
2017-12-03,3.3925
2017-12-04,2.23861
2017-12-05,1.88078
2017-12-06,1.66431
2017-12-07,1.41855
2017-12-08,1.59091
2017-12-09,1.9702
2017-12-10,1.60913
2017-12-11,1.11028
2017-12-12,0.98033
2017-12-13,1.07434
2017-12-14,1.05799
2017-12-15,1.12186
