period,ratio
2017-04-26,6.75733
2017-04-27,7.33931
2017-04-28,7.49557
2017-04-29,8.15408
2017-04-30,8.45544
2017-05-01,7.63269
2017-05-02,5.99359
2017-05-03,9.1012
2017-05-04,7.45411
2017-05-05,6.51976
2017-05-06,6.27102
2017-05-07,5.96329
2017-05-08,3.71669
2017-05-09,2.87641
2017-05-10,1.95162
2017-05-11,1.612
2017-05-12,1.74912
2017-05-13,1.92292
2017-05-14,1.61519
2017-05-15,1.39515
2017-05-16,1.26919
2017-05-17,1.24687
2017-05-18,100.0
2017-05-19,4.56016
2017-05-20,3.06615
2017-05-21,2.31197
2017-05-22,2.09193
2017-05-23,1.44936
2017-05-24,1.39356
2017-05-25,1.207
2017-05-26,1.21657
