period,ratio
2017-04-20,86.71221
2017-04-21,89.22153
2017-04-22,100.0
2017-04-23,70.83229
2017-04-24,40.82401
2017-04-25,37.89648
2017-04-26,40.23188
2017-04-27,27.22567
2017-04-28,26.28985
2017-04-29,31.34989
2017-04-30,33.93788
2017-05-01,24.02484
2017-05-02,30.53002
2017-05-03,13.70186
2017-05-04,7.99171
2017-05-05,7.10144
2017-05-06,6.58799
2017-05-07,5.11801
2017-05-08,3.99585
2017-05-09,4.68322
2017-05-10,3.50724
2017-05-11,2.97722
2017-05-12,3.38716
2017-05-13,3.85093
2017-05-14,3.59834
2017-05-15,2.61283
2017-05-16,2.65424
2017-05-17,2.59627
2017-05-18,2.84057
2017-05-19,3.1677
2017-05-20,3.45755
