period,ratio
2017-05-17,73.75612
2017-05-18,97.26743
2017-05-19,93.35315
2017-05-20,93.82994
2017-05-21,79.53654
2017-05-22,69.14972
2017-05-23,60.34708
2017-05-24,67.60144
2017-05-25,69.46245
2017-05-26,63.57181
2017-05-27,72.86406
2017-05-28,65.91217
2017-05-29,53.63359
2017-05-30,33.38289
2017-05-31,56.17133
2017-06-01,28.01261
2017-06-02,25.98754
2017-06-03,30.58624
2017-06-04,27.13337
2017-06-05,11.69413
2017-06-06,12.11196
2017-06-07,5.95216
2017-06-08,49.37069
2017-06-09,92.49955
2017-06-10,100.0
2017-06-11,93.51208
2017-06-12,59.09102
2017-06-13,43.28779
2017-06-14,38.57117
2017-06-15,42.93917
2017-06-16,32.70872
2017-06-17,36.95111
