period,ratio
2017-06-28,100.0
2017-06-29,77.17296
2017-06-30,45.53906
2017-07-01,33.35547
2017-07-02,23.67279
2017-07-03,18.4724
2017-07-04,10.51214
2017-07-05,8.97817
2017-07-06,6.78042
2017-07-07,6.99709
2017-07-08,6.9787
2017-07-09,5.21851
2017-07-10,5.61253
2017-07-11,4.52299
2017-07-12,2.85211
2017-07-13,2.5488
2017-07-14,2.694
2017-07-15,3.09743
2017-07-16,2.44222
2017-07-17,2.41273
2017-07-18,9.39817
2017-07-19,12.05286
2017-07-20,8.04521
2017-07-21,5.91247
2017-07-22,17.0099
2017-07-23,6.0272
2017-07-24,4.37527
2017-07-25,3.46688
2017-07-26,3.76247
2017-07-27,3.15949
2017-07-28,2.83231
