period,ratio
2018-01-11,100.0
2018-01-12,89.4954
2018-01-13,87.21237
2018-01-14,63.25185
2018-01-15,50.65261
2018-01-16,46.75487
2018-01-17,55.45638
2018-01-18,38.20139
2018-01-19,29.49091
2018-01-20,38.16102
2018-01-21,26.90737
2018-01-22,12.49607
2018-01-23,9.18591
2018-01-24,8.0915
2018-01-25,7.32451
2018-01-26,7.2034
2018-01-27,7.36936
2018-01-28,7.7551
2018-01-29,5.79053
2018-01-30,4.8845
2018-01-31,4.81722
2018-02-01,4.57053
2018-02-02,4.60192
2018-02-03,5.56178
2018-02-04,5.36891
2018-02-05,3.92016
2018-02-06,3.59273
2018-02-07,3.25185
2018-02-08,3.34155
2018-02-09,3.09037
2018-02-10,3.55685
2018-02-11,3.76766
