period,ratio
2017-10-19,100.0
2017-10-20,23.56766
2017-10-21,25.8049
2017-10-22,14.74407
2017-10-23,7.87848
2017-10-24,7.7228
2017-10-25,6.99419
2017-10-26,3.96177
2017-10-27,4.08997
2017-10-28,4.71967
2017-10-29,4.39295
2017-10-30,2.27724
2017-10-31,2.01397
2017-11-01,1.47277
2017-11-02,1.24384
2017-11-03,1.18787
2017-11-04,1.41195
2017-11-05,1.21686
2017-11-06,0.57342
2017-11-07,0.48412
2017-11-08,0.63394
2017-11-09,0.64586
2017-11-10,0.52463
2017-11-11,0.65707
2017-11-12,0.51139
2017-11-13,0.23256
2017-11-14,0.36117
2017-11-15,0.59777
2017-11-16,0.48705
2017-11-17,0.57161
2017-11-18,21.96123
2017-11-19,1.10361
