period,ratio
2017-09-06,85.59156
2017-09-07,98.20242
2017-09-08,100.0
2017-09-09,94.45615
2017-09-10,78.32571
2017-09-11,64.07238
2017-09-12,53.35852
2017-09-13,36.81049
2017-09-14,28.72539
2017-09-15,29.93438
2017-09-16,38.8268
2017-09-17,25.19387
2017-09-18,18.73135
2017-09-19,9.42533
2017-09-20,8.52256
2017-09-21,6.82044
2017-09-22,6.75681
2017-09-23,7.04712
2017-09-24,6.72897
2017-09-25,5.00298
2017-09-26,8.94412
2017-09-27,8.10101
2017-09-28,10.92463
2017-09-29,6.1364
2017-09-30,9.13103
2017-10-01,9.89858
2017-10-02,7.38914
2017-10-03,6.37502
2017-10-04,9.74746
2017-10-05,11.93875
2017-10-06,31.29051
