period,ratio
2017-01-04,100.0
2017-01-05,46.72937
2017-01-06,46.96149
2017-01-07,32.53004
2017-01-08,20.86696
2017-01-09,23.52858
2017-01-10,12.10718
2017-01-11,8.74215
2017-01-12,8.15202
2017-01-13,7.51305
2017-01-14,9.06138
2017-01-15,8.0201
2017-01-16,5.1334
2017-01-17,4.52062
2017-01-18,4.74116
2017-01-19,4.15355
2017-01-20,4.47631
2017-01-21,3.85496
2017-01-22,3.68326
2017-01-23,3.23714
2017-01-24,3.13845
2017-01-25,3.97933
2017-01-26,28.20227
2017-01-27,31.38654
2017-01-28,21.79747
2017-01-29,20.93242
2017-01-30,20.6152
2017-01-31,15.14644
2017-02-01,10.71797
2017-02-02,8.46823
2017-02-03,7.64497
2017-02-04,71.34354
