period,ratio
2017-03-01,100.0
2017-03-02,19.26317
2017-03-03,13.76956
2017-03-04,15.63594
2017-03-05,12.12014
2017-03-06,5.59335
2017-03-07,4.31597
2017-03-08,3.53278
2017-03-09,2.93865
2017-03-10,3.06808
2017-03-11,5.36035
2017-03-12,3.91901
2017-03-13,1.90417
2017-03-14,1.64503
2017-03-15,1.50824
2017-03-16,1.26478
2017-03-17,1.22764
2017-03-18,1.6455
2017-03-19,1.27056
2017-03-20,0.79214
2017-03-21,0.72439
2017-03-22,0.649
2017-03-23,0.46909
2017-03-24,0.45808
2017-03-25,0.57668
2017-03-26,0.50697
2017-03-27,0.33182
2017-03-28,0.28162
2017-03-29,0.3545
2017-03-30,0.30243
2017-03-31,0.28031
2017-04-01,0.33714
