period,ratio
2017-04-26,15.03333
2017-04-27,18.3
2017-04-28,19.26666
2017-04-29,17.0
2017-04-30,23.13333
2017-05-01,14.33333
2017-05-02,16.26666
2017-05-03,100.0
2017-05-04,68.33333
2017-05-05,56.93333
2017-05-06,57.53333
2017-05-07,61.13333
2017-05-08,62.76666
2017-05-09,75.53333
2017-05-10,50.96666
2017-05-11,55.33333
2017-05-12,55.76666
2017-05-13,64.5
2017-05-14,65.26666
2017-05-15,61.53333
2017-05-16,3.9
2017-05-17,2.7
2017-05-18,2.83333
2017-05-19,2.0
2017-05-20,2.7
2017-05-21,3.5
2017-05-22,2.7
2017-05-23,2.43333
2017-05-24,2.0
2017-05-25,1.93333
2017-05-26,1.86666
