period,ratio
2018-02-28,93.24598
2018-03-01,100.0
2018-03-02,69.33135
2018-03-03,77.65039
2018-03-04,68.65543
2018-03-05,46.32402
2018-03-06,38.80309
2018-03-07,29.56117
2018-03-08,23.1945
2018-03-09,22.62517
2018-03-10,25.20927
2018-03-11,22.21182
2018-03-12,11.1787
2018-03-13,9.01055
2018-03-14,6.76441
2018-03-15,5.79992
2018-03-16,5.70893
2018-03-17,6.33026
2018-03-18,5.38917
2018-03-19,3.95674
2018-03-20,3.58758
2018-03-21,3.47579
2018-03-22,3.07284
2018-03-23,3.04684
2018-03-24,3.22362
2018-03-25,3.49919
2018-03-26,2.5503
2018-03-27,2.39432
2018-03-28,2.24094
