period,ratio
2018-01-11,50.12507
2018-01-12,75.89969
2018-01-13,100.0
2018-01-14,57.46105
2018-01-15,34.81591
2018-01-16,29.44061
2018-01-17,24.6758
2018-01-18,23.44776
2018-01-19,26.3406
2018-01-20,33.60077
2018-01-21,30.47651
2018-01-22,24.38298
2018-01-23,18.66269
2018-01-24,17.93281
2018-01-25,16.74928
2018-01-26,19.29835
2018-01-27,33.16799
2018-01-28,43.02328
2018-01-29,18.31709
2018-01-30,16.06083
2018-01-31,17.79008
2018-02-01,16.22657
2018-02-02,17.43097
2018-02-03,48.9885
2018-02-04,44.73258
2018-02-05,16.33922
2018-02-06,12.60078
2018-02-07,11.27023
2018-02-08,9.46639
2018-02-09,9.3473
2018-02-10,12.66677
2018-02-11,11.87796
