period,ratio
2016-12-22,42.76116
2016-12-23,53.00638
2016-12-24,65.23345
2016-12-25,62.91568
2016-12-26,62.8485
2016-12-27,81.52502
2016-12-28,100.0
2016-12-29,85.18642
2016-12-30,88.10883
2016-12-31,92.20691
2017-01-01,84.38024
2017-01-02,72.65703
2017-01-03,65.46859
2017-01-04,82.86865
2017-01-05,66.20759
2017-01-06,80.68525
2017-01-07,80.24857
2017-01-08,78.3003
2017-01-09,39.26771
2017-01-10,15.0487
2017-01-11,12.89889
2017-01-12,9.97648
2017-01-13,11.99193
2017-01-14,12.93248
2017-01-15,10.01007
2017-01-16,8.4313
2017-01-17,7.45717
2017-01-18,6.85253
2017-01-19,6.2479
2017-01-20,19.8522
2017-01-21,8.8008
2017-01-22,21.39737
