period,ratio
2017-07-12,55.33712
2017-07-13,84.61454
2017-07-14,85.07324
2017-07-15,98.17203
2017-07-16,100.0
2017-07-17,72.98739
2017-07-18,68.01272
2017-07-19,62.5261
2017-07-20,54.99856
2017-07-21,57.99784
2017-07-22,64.1684
2017-07-23,72.11505
2017-07-24,60.65036
2017-07-25,48.86213
2017-07-26,46.71472
2017-07-27,38.60015
2017-07-28,37.40972
2017-07-29,35.52852
2017-07-30,34.38314
2017-07-31,30.20573
2017-08-01,25.13139
2017-08-02,19.43591
2017-08-03,16.49124
2017-08-04,15.31037
2017-08-05,30.52927
2017-08-06,16.90898
2017-08-07,13.27217
2017-08-08,11.83465
2017-08-09,10.1473
2017-08-10,9.39372
2017-08-11,18.60452
2017-08-12,9.30362
