period,ratio
2016-12-08,62.91217
2016-12-09,27.9791
2016-12-10,28.99118
2016-12-11,23.01665
2016-12-12,80.5746
2016-12-13,83.61083
2016-12-14,76.82011
2016-12-15,66.43813
2016-12-16,100.0
2016-12-17,82.10904
2016-12-18,88.76918
2016-12-19,33.07215
2016-12-20,22.2984
2016-12-21,17.10741
2016-12-22,17.43388
2016-12-23,16.65034
2016-12-24,13.77734
2016-12-25,12.40613
2016-12-26,17.9236
2016-12-27,18.93568
2016-12-28,17.04211
2016-12-29,16.12797
2016-12-30,14.9853
2016-12-31,13.84263
2017-01-01,11.78583
2017-01-02,16.55239
2017-01-03,19.45804
2017-01-04,16.71563
2017-01-05,14.23441
2017-01-06,14.92001
2017-01-07,13.18968
2017-01-08,12.9285
