period,ratio
2017-08-09,56.85168
2017-08-10,53.55723
2017-08-11,53.21112
2017-08-12,60.84262
2017-08-13,58.96679
2017-08-14,100.0
2017-08-15,86.16843
2017-08-16,42.16553
2017-08-17,41.16138
2017-08-18,38.53779
2017-08-19,44.56266
2017-08-20,48.53651
2017-08-21,28.03914
2017-08-22,24.56949
2017-08-23,28.76126
2017-08-24,18.92919
2017-08-25,17.59176
2017-08-26,23.58244
2017-08-27,21.85189
2017-08-28,6.90937
2017-08-29,5.23864
2017-08-30,4.51651
2017-08-31,4.03794
2017-09-01,5.63602
2017-09-02,8.8151
2017-09-03,7.66141
2017-09-04,1.98265
2017-09-05,1.74763
2017-09-06,1.38443
2017-09-07,1.4528
2017-09-08,2.65777
2017-09-09,4.7387
