period,ratio
2017-03-16,36.12972
2017-03-17,41.39004
2017-03-18,42.21593
2017-03-19,33.34709
2017-03-20,39.46825
2017-03-21,22.80105
2017-03-22,19.80242
2017-03-23,14.19904
2017-03-24,29.5988
2017-03-25,66.76725
2017-03-26,100.0
2017-03-27,17.3152
2017-03-28,14.32927
2017-03-29,10.55874
2017-03-30,8.94825
2017-03-31,8.44636
2017-04-01,10.05685
2017-04-02,8.94825
2017-04-03,4.87595
2017-04-04,4.15488
2017-04-05,4.14535
2017-04-06,3.71652
2017-04-07,5.38737
2017-04-08,5.94009
2017-04-09,5.92103
2017-04-10,3.06534
2017-04-11,2.70957
2017-04-12,2.72862
2017-04-13,2.56662
2017-04-14,2.99863
2017-04-15,3.76417
2017-04-16,4.09135
