period,ratio
2017-07-20,100.0
2017-07-21,51.09876
2017-07-22,53.96031
2017-07-23,44.74188
2017-07-24,32.36942
2017-07-25,23.705
2017-07-26,33.60876
2017-07-27,25.33886
2017-07-28,23.10984
2017-07-29,24.10684
2017-07-30,22.19137
2017-07-31,18.77935
2017-08-01,13.29215
2017-08-02,11.4724
2017-08-03,11.20632
2017-08-04,8.86816
2017-08-05,8.089
2017-08-06,7.9274
2017-08-07,6.24229
2017-08-08,5.48309
2017-08-09,4.34402
2017-08-10,4.8297
2017-08-11,3.66889
2017-08-12,4.47467
2017-08-13,5.46102
2017-08-14,4.37585
2017-08-15,3.7574
2017-08-16,2.23046
2017-08-17,2.10413
2017-08-18,1.63241
2017-08-19,1.85768
2017-08-20,2.15004
