period,ratio
2017-03-16,58.99837
2017-03-17,59.29237
2017-03-18,73.56042
2017-03-19,59.99391
2017-03-20,41.31589
2017-03-21,35.36699
2017-03-22,33.88483
2017-03-23,24.20316
2017-03-24,18.603
2017-03-25,21.75182
2017-03-26,25.80494
2017-03-27,8.3678
2017-03-28,59.49918
2017-03-29,100.0
2017-03-30,66.23884
2017-03-31,50.70965
2017-04-01,85.67923
2017-04-02,54.64111
2017-04-03,24.75466
2017-04-04,19.76074
2017-04-05,20.01622
2017-04-06,16.51865
2017-04-07,15.90429
2017-04-08,17.85077
2017-04-09,41.44566
2017-04-10,10.39132
2017-04-11,14.0815
2017-04-12,12.6034
2017-04-13,11.50851
2017-04-14,13.02716
2017-04-15,15.20478
2017-04-16,15.48864
