period,ratio
2017-08-23,100.0
2017-08-24,30.43986
2017-08-25,10.27435
2017-08-26,9.45362
2017-08-27,10.64096
2017-08-28,5.93325
2017-08-29,4.07866
2017-08-30,3.48729
2017-08-31,2.49705
2017-09-01,2.06042
2017-09-02,2.34412
2017-09-03,1.96399
2017-09-04,1.29196
2017-09-05,1.00817
2017-09-06,0.73087
2017-09-07,0.56217
2017-09-08,0.64778
2017-09-09,0.82955
2017-09-10,0.64778
2017-09-11,0.39229
2017-09-12,0.31848
2017-09-13,0.26188
2017-09-14,0.23999
2017-09-15,0.24963
2017-09-16,0.37589
2017-09-17,0.30442
2017-09-18,0.2526
2017-09-19,1.34234
2017-09-20,2.76137
2017-09-21,1.95182
2017-09-22,1.47472
2017-09-23,1.83313
