period,ratio
2017-10-03,74.87131
2017-10-04,75.34212
2017-10-05,98.83239
2017-10-06,100.0
2017-10-07,69.90583
2017-10-08,64.58254
2017-10-09,50.56497
2017-10-10,12.4231
2017-10-11,9.42875
2017-10-12,8.51224
2017-10-13,12.98179
2017-10-14,19.9435
2017-10-15,17.81544
2017-10-16,5.91337
2017-10-17,5.01569
2017-10-18,4.80853
2017-10-19,4.38166
2017-10-20,6.48462
2017-10-21,9.19648
2017-10-22,9.17137
2017-10-23,3.33333
2017-10-24,2.63653
2017-10-25,2.78091
2017-10-26,3.28311
2017-10-27,3.74764
2017-10-28,5.8192
2017-10-29,5.11613
2017-10-30,2.69303
2017-10-31,2.19083
2017-11-01,2.35404
2017-11-02,2.36032
2017-11-03,3.07595
