period,ratio
2017-12-27,100.0
2017-12-28,30.61379
2017-12-29,25.28996
2017-12-30,30.3104
2017-12-31,29.55099
2018-01-01,29.7776
2018-01-02,33.93408
2018-01-03,18.40514
2018-01-04,15.90518
2018-01-05,15.03821
2018-01-06,24.36563
2018-01-07,25.92363
2018-01-08,29.71746
2018-01-09,15.36279
2018-01-10,12.213
2018-01-11,10.73668
2018-01-12,12.92588
2018-01-13,19.20405
2018-01-14,18.21657
2018-01-15,10.52936
2018-01-16,8.69566
2018-01-17,7.68954
2018-01-18,6.30606
2018-01-19,6.15375
2018-01-20,12.44977
2018-01-21,8.14166
2018-01-22,5.61437
2018-01-23,4.04455
2018-01-24,3.29451
2018-01-25,3.07838
2018-01-26,3.10036
2018-01-27,11.11661
