period,ratio
2017-05-31,100.0
2017-06-01,23.50048
2017-06-02,16.73843
2017-06-03,23.93715
2017-06-04,21.19732
2017-06-05,17.14557
2017-06-06,17.04113
2017-06-07,8.53585
2017-06-08,4.716
2017-06-09,5.51307
2017-06-10,7.89975
2017-06-11,7.07663
2017-06-12,4.44933
2017-06-13,3.28031
2017-06-14,3.15412
2017-06-15,2.56499
2017-06-16,2.60891
2017-06-17,4.04291
2017-06-18,4.20094
2017-06-19,2.26848
2017-06-20,1.80333
2017-06-21,1.60979
2017-06-22,1.40858
2017-06-23,1.43232
2017-06-24,1.96577
2017-06-25,1.72946
2017-06-26,1.13476
2017-06-27,1.0714
2017-06-28,1.15798
2017-06-29,1.16901
2017-06-30,1.14401
