period,ratio
2017-02-09,46.8586
2017-02-10,59.49072
2017-02-11,50.62827
2017-02-12,60.5514
2017-02-13,58.73309
2017-02-14,59.74203
2017-02-15,100.0
2017-02-16,55.17037
2017-02-17,39.31184
2017-02-18,40.59797
2017-02-19,36.83938
2017-02-20,12.0408
2017-02-21,7.26956
2017-02-22,6.86303
2017-02-23,5.42907
2017-02-24,5.90583
2017-02-25,5.7543
2017-02-26,5.74691
2017-02-27,4.92645
2017-02-28,4.29447
2017-03-01,4.531
2017-03-02,3.09705
2017-03-03,3.21901
2017-03-04,5.4032
2017-03-05,8.29699
2017-03-06,6.96282
2017-03-07,5.87257
2017-03-08,4.95971
2017-03-09,4.30926
