period,ratio
2017-07-19,77.12262
2017-07-20,87.82481
2017-07-21,80.13542
2017-07-22,90.46639
2017-07-23,100.0
2017-07-24,67.89712
2017-07-25,52.55917
2017-07-26,71.62118
2017-07-27,44.51563
2017-07-28,41.80723
2017-07-29,36.19591
2017-07-30,32.25507
2017-07-31,38.55685
2017-08-01,18.81626
2017-08-02,15.56291
2017-08-03,15.28301
2017-08-04,8.98791
2017-08-05,8.67015
2017-08-06,8.832
2017-08-07,4.61348
2017-08-08,3.26596
2017-08-09,2.77002
2017-08-10,2.80046
2017-08-11,2.57327
2017-08-12,2.96082
2017-08-13,3.77973
2017-08-14,3.12787
2017-08-15,3.73741
2017-08-16,1.9823
2017-08-17,4.29424
2017-08-18,5.84667
2017-08-19,8.94559
