period,ratio
2018-02-22,27.91292
2018-02-23,47.69384
2018-02-24,56.18727
2018-02-25,45.53921
2018-02-26,48.72807
2018-02-27,69.72948
2018-02-28,100.0
2018-03-01,52.44238
2018-03-02,36.0338
2018-03-03,44.28535
2018-03-04,42.75626
2018-03-05,42.00005
2018-03-06,46.22869
2018-03-07,28.04637
2018-03-08,23.83997
2018-03-09,18.16842
2018-03-10,21.7326
2018-03-11,23.05596
2018-03-12,19.54182
2018-03-13,14.29842
2018-03-14,15.23534
2018-03-15,13.27254
2018-03-16,9.19958
2018-03-17,9.1829
2018-03-18,12.24109
2018-03-19,10.21435
2018-03-20,5.24896
2018-03-21,12.26333
2018-03-22,12.60529
