period,ratio
2017-01-04,26.079
2017-01-05,22.94693
2017-01-06,31.89107
2017-01-07,40.79216
2017-01-08,36.0241
2017-01-09,70.3907
2017-01-10,88.2144
2017-01-11,64.95533
2017-01-12,64.51404
2017-01-13,100.0
2017-01-14,80.98159
2017-01-15,66.72048
2017-01-16,41.9761
2017-01-17,38.29512
2017-01-18,71.39166
2017-01-19,31.16994
2017-01-20,31.14842
2017-01-21,33.6347
2017-01-22,33.52706
2017-01-23,9.09482
2017-01-24,4.01463
2017-01-25,3.59487
2017-01-26,4.07921
2017-01-27,11.12904
2017-01-28,18.69551
2017-01-29,22.18275
2017-01-30,21.79528
2017-01-31,13.84135
2017-02-01,8.08309
2017-02-02,6.60854
2017-02-03,7.67409
2017-02-04,8.59972
