period,ratio
2017-03-08,32.12838
2017-03-09,46.75458
2017-03-10,39.81091
2017-03-11,57.17009
2017-03-12,51.98617
2017-03-13,54.17891
2017-03-14,62.30237
2017-03-15,59.37872
2017-03-16,88.01144
2017-03-17,100.0
2017-03-18,72.1538
2017-03-19,63.97473
2017-03-20,30.95257
2017-03-21,20.81909
2017-03-22,25.43497
2017-03-23,21.27591
2017-03-24,13.29943
2017-03-25,15.76229
2017-03-26,24.68022
2017-03-27,14.45539
2017-03-28,10.8326
2017-03-29,35.08381
2017-03-30,14.49908
2017-03-31,11.46023
2017-04-01,12.787
2017-04-02,16.72757
2017-04-03,4.53642
2017-04-04,0.36148
2017-04-05,0.42106
2017-04-06,0.48859
2017-04-07,1.25923
2017-04-08,6.81655
