period,ratio
2017-05-18,96.52278
2017-05-19,96.26298
2017-05-20,99.34052
2017-05-21,90.40767
2017-05-22,89.30855
2017-05-23,100.0
2017-05-24,96.58273
2017-05-25,84.85211
2017-05-26,84.57234
2017-05-27,99.70023
2017-05-28,95.72342
2017-05-29,46.22302
2017-05-30,30.21582
2017-05-31,32.71382
2017-06-01,26.45883
2017-06-02,29.81614
2017-06-03,35.69144
2017-06-04,33.27338
2017-06-05,44.04476
2017-06-06,65.60751
2017-06-07,30.9952
2017-06-08,25.2398
2017-06-09,25.47961
2017-06-10,30.87529
2017-06-11,27.77777
2017-06-12,25.21982
2017-06-13,46.14308
2017-06-14,22.72182
2017-06-15,17.94564
2017-06-16,17.04636
2017-06-17,20.34372
2017-06-18,21.82254
