movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
재심,149512.0,8.7,6.0,8.49
조작된 도시,127382.0,8.56,5.22,8.03
싱글라이더,146459.0,8.01,5.9,8.23
공조,142384.0,8.83,5.0,8.27
눈길,134772.0,9.02,6.0,9.16
존 윅 - 리로드,143932.0,8.73,7.0,7.97
핵소 고지,142305.0,9.19,6.0,9.2
사일런스,90922.0,8.72,7.0,8.25
라라랜드,134963.0,8.9,8.34,8.59
트롤,101904.0,8.81,5.5,8.71
극장판 소드 아트 온라인 -오디널 스케일-,159408.0,9.25,0.0,8.94
콩: 스컬 아일랜드,127397.0,8.12,6.17,7.76
옥자,143435.0,8.77,7.33,8.45
루시드 드림,130713.0,8.06,3.0,5.86
비정규직 특수요원,152161.0,7.26,3.25,6.02
더 킹,144314.0,8.39,6.83,8.08
신 고질라,150689.0,7.88,6.0,4.9
간츠:O,153729.0,8.55,0.0,8.48
"구름의 저편, 약속의 장소",38249.0,7.67,6.0,6.93
패신저스,116233.0,8.03,5.5,7.95
맨체스터 바이 더 씨,137956.0,8.89,7.78,8.72
컨택트,136869.0,8.45,7.29,8.19
커피메이트,146450.0,7.95,4.0,7.75
미녀와 야수,136872.0,8.99,7.0,8.79
걸 온 더 트레인,142255.0,7.41,4.67,7.42
러빙,143460.0,8.22,7.0,8.29
프리즌,146517.0,8.25,6.0,7.58
밀리언 달러 베이비,39809.0,8.86,8.5,8.97
아메리칸 초밥왕,121672.0,0.0,0.0,7.27
마스터,145162.0,8.65,5.77,8.1
그레이트 월,126034.0,7.92,4.5,6.44
눈발,145160.0,7.96,6.0,7.9
실종: 택시 납치 사건,137904.0,0.0,0.0,4.27
공각기동대 : 고스트 인 더 쉘,134838.0,7.27,5.14,6.96
데스노트: 더 뉴 월드,142324.0,7.51,6.0,5.0
아이히만 쇼,126044.0,8.64,6.0,8.21
존 윅,123300.0,7.58,6.05,7.85
특별시민,146485.0,7.74,5.91,7.39
녹화중이야,143188.0,7.62,0.0,7.54
라빠르망,18285.0,8.59,7.0,8.84
어쌔신 크리드,118307.0,7.29,5.67,7.1
쥬라기 파크: 아마존 어드벤쳐,159552.0,0.0,0.0,2.87
내 이름은 꾸제트,140557.0,7.94,7.17,8.19
글래디에이터: 더 토너먼트,158777.0,0.0,0.0,7.0
파도가 지나간 자리,125417.0,8.93,6.0,9.01
독전(가제),158178.0,8.41,5.29,7.54
희생부활자,140696.0,6.62,5.17,6.09
그것,154668.0,7.66,6.6,6.96
창궐,160487.0,6.52,5.2,5.12
뷰티풀 투모로우,169561.0,0.0,0.0,9.29
잠깐만 회사 좀 관두고 올게,159741.0,8.21,6.0,8.12
석조저택 살인사건,127346.0,8.22,4.67,7.28
신과함께,85579.0,,,
내게 남은 사랑을,164108.0,8.67,5.0,8.17
러브,139520.0,7.29,6.0,7.13
당신자신과 당신의 것,151154.0,7.98,7.31,6.97
마리오네트,158555.0,8.14,3.67,6.56
윈드 리버,149757.0,8.52,7.33,8.52
마더!,152650.0,7.19,7.25,5.99
비밀은 없다,125802.0,7.0,6.96,6.55
더 바,153342.0,8.4,5.5,5.62
아토믹 블론드,144215.0,8.05,6.43,7.89
청연,34569.0,0.0,6.33,7.6
신서유기 : 몽키킹의 부활,143250.0,8.6,0.0,7.28
킬러의 보디가드,152625.0,9.1,5.6,8.39
브이아이피,152170.0,6.87,5.0,6.51
택시운전사,146469.0,9.28,6.09,9.04
로마의 휴일,155680.0,7.68,3.0,6.79
공범자들,165461.0,9.61,6.44,9.13
장산범,137696.0,7.42,5.8,6.16
혹성탈출: 종의 전쟁,143394.0,8.15,7.75,7.92
김광석,151674.0,8.9,6.0,8.73
더 테이블,151117.0,8.32,5.5,7.98
스파이 게임,124205.0,7.25,4.67,7.61
매혹당한 사람들,154267.0,7.77,7.0,6.84
애나벨: 인형의 주인,152341.0,7.59,7.0,7.29
다크타워: 희망의 탑,146407.0,7.38,4.25,7.35
저수지 게임,162824.0,9.69,6.67,9.2
아키라,20308.0,8.91,8.0,8.38
디 아더스,33062.0,9.0,6.8,8.47
인비저블 게스트,159516.0,8.84,6.5,8.94
레이디 맥베스,154419.0,7.92,6.89,7.47
