movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
토마스와 친구들: 수수께끼 해적선과 보물찾기,148994.0,7.88,6.0,7.83
주키퍼스 와이프,143489.0,8.58,6.0,8.37
나의 엔젤,162200.0,8.08,7.0,8.23
딥,163663.0,7.99,0.0,8.08
가을 우체국,162415.0,9.25,3.0,7.07
투 이즈 어 패밀리,156194.0,8.0,4.5,8.35
"괜찮아요, 미스터 브래드",163832.0,8.38,6.0,8.36
튤립 피버,125418.0,7.7,5.33,7.34
세 번째 살인,166583.0,8.21,6.5,7.75
러브레터,19031.0,9.43,8.63,9.11
"안녕, 나의 소울메이트",156912.0,8.78,7.17,8.95
스노우맨,124263.0,0.0,3.0,5.64
섹스타시,170708.0,0.0,0.0,4.57
메리 크리스마스 미스터 모,149289.0,8.94,7.33,8.97
무서운 꿈,170236.0,5.9,4.0,5.24
정글,158623.0,9.0,6.0,8.65
쥬라기 월드: 폴른 킹덤,154285.0,8.55,6.4,8.02
러브 액츄얼리,36843.0,9.22,7.0,8.97
스페이스 비트윈 어스,143437.0,8.37,6.0,7.42
옆집소녀,161365.0,0.0,0.0,5.68
콜로니아,129093.0,0.0,0.0,0.0
아우토반,110379.0,7.72,4.0,7.74
블리드 포 디스,130986.0,9.19,5.33,8.5
나는 사랑과 시간과 죽음을 만났다,140792.0,0.0,0.0,0.0
토니 에드만,150371.0,8.29,7.67,8.18
패트와 매트: 뚝딱뚝딱 대소동,152491.0,8.29,5.6,8.71
청불학원,158897.0,0.0,0.0,5.67
오버 더 펜스 ,154540.0,7.83,6.0,7.44
오즈: 신기한 마법가루,165029.0,7.58,0.0,7.69
돈 슬립,161988.0,0.0,3.0,4.02
암고양이들,160673.0,10.0,6.0,6.19
퍼스트 킬,162823.0,0.0,0.0,0.0
인셉션,52515.0,0.0,7.93,9.22
인터스텔라,45290.0,9.11,7.9,9.09
100미터,149048.0,9.0,5.5,8.9
행복 목욕탕,154029.0,8.92,6.57,8.53
나이트 라이즈,158487.0,0.0,0.0,5.88
링스,137909.0,0.0,0.0,4.9
원스텝,146503.0,5.91,4.5,5.43
대역전,148961.0,0.0,0.0,0.0
로봇 오버로드,119448.0,0.0,0.0,5.21
데이라이트 엔드: 인류멸망의 날,149829.0,0.0,0.0,0.0
파이널 크루: 칸우 탈출작전,158402.0,0.0,0.0,8.8
드래곤: 용의 신부,154045.0,0.0,0.0,0.0
오텁시 오브 제인 도,154461.0,,,
다른 길이 있다,134976.0,8.2,5.67,4.23
초속5센티미터,66820.0,9.48,7.0,8.38
몬스터콜,125401.0,,,
씽,144938.0,8.99,6.71,8.96
돈키호테 맨 오브 라만차,130931.0,0.0,0.0,6.65
더 리더: 책 읽어주는 남자,45298.0,9.11,7.31,8.95
반지의 제왕: 왕의 귀환,31796.0,0.0,0.0,9.37
언어의 정원,106335.0,8.97,6.97,8.21
잭 리처: 네버 고 백,119412.0,8.13,4.88,7.14
빌리 엘리어트,31013.0,9.69,8.0,9.3
용의 치과의사,163503.0,6.67,5.0,6.9
아웃도어 비긴즈,151155.0,0.0,0.0,5.83
스코어: 영화음악의 모든 것,161129.0,8.98,6.5,8.83
음양팔괘장: 6인의 고수,158494.0,0.0,0.0,4.27
극장판 마이 리틀 포니: 이퀘스트리아 걸스,109606.0,8.39,7.0,8.78
추격자: 침묵의 살인,80127.0,0.0,0.0,5.15
눈의 여왕3: 눈과 불의 마법대결,156675.0,8.34,0.0,8.57
로그 원: 스타워즈 스토리,136868.0,8.34,7.16,8.45
"당신, 거기 있어줄래요",145292.0,8.8,5.44,8.69
에곤 쉴레: 욕망이 그린 그림,154307.0,8.05,6.25,7.93
미공하행동,153656.0,0.0,0.0,0.0
소시민,123678.0,9.0,4.5,5.2
7년-그들이 없는 언론,146526.0,9.48,6.0,8.51
시간을 달리는 소녀,63513.0,9.5,7.8,9.21
더 걸 온 더 트레인,142255.0,,,
서펀트: 죽음의 협곡,165529.0,0.0,0.0,0.0
말괄량이 마녀 로비와 숲 속 친구들,168995.0,8.07,0.0,8.43
베이워치: SOS 해상 구조대,104440.0,0.0,0.0,0.0
빅풋 주니어,165025.0,8.82,0.0,8.87
극장판 도라에몽:진구의 남극 꽁꽁 대모험,153279.0,8.68,6.0,8.85
혹성탈출: 반격의 서막,99740.0,8.43,6.53,8.53
미션 이스탄불,147835.0,7.0,4.5,4.6
내일의 안녕,142330.0,8.4,5.75,8.5
혹성탈출: 진화의 시작,80629.0,0.0,8.54,8.77
밤섬해적단 서울불바다,160261.0,8.89,7.22,7.5
애나벨,127338.0,7.1,3.0,6.87
하이큐!! 승자와 패자,155963.0,9.27,0.0,9.03
낮잠 공주 : 모르는 나의 이야기,159683.0,7.37,5.33,6.74
컨저링,92823.0,0.0,7.33,7.85
화이트 릴리,154053.0,6.17,4.67,6.19
라이트 아웃,144918.0,7.71,0.0,7.37
스플릿,146512.0,9.15,6.38,8.99
용의자,93028.0,8.27,6.47,8.35
키코리키: 황금모자의 비밀,148946.0,7.37,0.0,7.65
사운드 오브 뮤직,10102.0,9.6,0.0,9.39
검사외전,130903.0,8.56,5.94,7.94
동창회의 목적: 더 비기닝,153423.0,0.0,0.0,6.4
미션 임파서블: 로그네이션,95541.0,8.81,7.54,8.75
서유기3: 월광보합 리턴즈,142323.0,0.0,0.0,2.87
지워야 산다,170242.0,0.0,0.0,8.04
실종2,158091.0,0.0,0.0,3.75
산상수훈,164335.0,8.41,3.0,6.68
빅 배드 폭스,166807.0,9.05,7.0,8.82
초행,162172.0,8.46,6.6,7.74
인디펜던츠 데이: 외계의 대침공,169523.0,0.0,0.0,5.12
토마스와 친구들: 그레이트 레이스,148995.0,7.88,6.0,8.16
푸른노을,162228.0,9.0,0.0,9.05
분노의 전차군단,163126.0,0.0,0.0,3.83
8 마일,35626.0,9.0,0.0,8.88
커뮤터,152249.0,8.78,5.57,8.11
원더 휠,167408.0,8.01,6.29,7.68
극장판 레이디버그: 미라클스톤의 비밀,171727.0,8.96,0.0,9.43
9/11,149287.0,0.0,0.0,6.91
진주 귀걸이를 한 소녀,37937.0,8.64,7.0,8.14
식스 빌로우,168479.0,10.0,4.0,7.81
쿵푸몽키,171746.0,7.24,5.0,6.5
포르토,136834.0,7.69,6.0,7.31
새벽을 알리는 루의 노래,159833.0,9.26,6.5,8.49
천화,146421.0,9.0,7.0,6.14
누에치던 방,154982.0,7.81,7.4,7.39
기생 : 꽃의 고백,171828.0,10.0,0.0,7.81
M.F.A.,165832.0,0.0,0.0,0.0
주문은 토끼입니까?? ~디어 마이 시스터~,170427.0,8.47,3.0,4.59
굿타임,154295.0,7.89,6.88,6.8
메이즈 러너: 스코치 트라이얼,129408.0,8.36,6.56,8.07
메이즈 러너,105015.0,8.38,5.8,8.29
굿바이 크리스토퍼 로빈,154225.0,0.0,0.0,0.0
하우스 오브 데스,149452.0,0.0,0.0,5.91
좋아하지도 않으면서,172019.0,0.0,0.0,0.0
리틀 뱀파이어,144381.0,8.38,5.0,8.19
피의 연대기,164104.0,9.55,6.5,9.19
미션,10086.0,9.12,6.33,8.9
아비정전,10546.0,8.97,8.0,8.51
영원스,109972.0,0.0,0.0,0.0
투 러버스 앤 베어,136889.0,7.69,6.33,7.43
아기돼지 3형제와 매직램프,160720.0,7.53,6.0,7.02
셧 인,137990.0,0.0,0.0,0.0
개에게 처음 이름을 지어준 날,144084.0,9.0,5.5,8.13
아뉴스 데이,146200.0,8.93,6.0,8.99
너브,137938.0,0.0,6.0,8.1
사다코 대 카야코,149283.0,6.74,2.5,5.83
스와핑 하던 날,155084.0,0.0,0.0,5.53
택시 3,36818.0,0.0,0.0,6.3
반지의 제왕: 반지 원정대,31794.0,0.0,0.0,9.28
별을 쫓는 아이:아가르타의 전설,84505.0,8.25,5.33,7.92
여자전쟁: 여자의 이유,143478.0,0.0,0.0,3.96
미씽: 사라진 여자,142625.0,8.53,6.72,8.37
더 킹 오브 엠파이어,141447.0,0.0,0.0,4.2
"내 어깨 위 고양이, 밥",154379.0,9.27,6.0,9.18
형,142803.0,8.91,4.55,8.34
루돌프와 많이있어,153951.0,8.73,6.38,8.8
브라이트,154252.0,0.0,0.0,0.0
월터의 상상은 현실이 된다,97858.0,8.8,6.97,8.69
비욘드 스카이라인,80204.0,0.0,0.0,0.0
더 크리스마스,168478.0,8.75,7.0,8.87
고스트 스토리,158256.0,8.0,8.33,7.5
도쿄 구울,165471.0,0.0,0.0,0.0
일주일간 친구,148996.0,9.25,5.0,8.48
두 개의 사랑,162869.0,7.21,6.5,7.16
디트로이트,152689.0,8.46,7.13,8.17
야경:죽음의 택시,164995.0,8.75,6.0,3.85
두개의 빛: 릴루미노,171449.0,0.0,0.0,0.0
침입자,170642.0,0.0,0.0,5.77
더 킬링 오브 어 세이크리드 디어,152694.0,8.29,7.14,7.07
누나 친구 2,161308.0,0.0,0.0,5.7
이블 아이덴티티,116576.0,0.0,0.0,6.17
캐리비안의 해적 - 세상의 끝에서,43679.0,0.0,6.2,8.21
캐리비안의 해적 - 블랙 펄의 저주,37148.0,0.0,0.0,9.08
루팡 3세: 칼리오스트로의 성,18049.0,9.29,7.0,8.68
전설의 검,126282.0,0.0,0.0,5.79
캐리비안의 해적 - 망자의 함,43678.0,0.0,6.5,8.91
초대남,164397.0,0.0,0.0,8.14
처제의유혹,163090.0,10.0,0.0,5.7
시암,162970.0,0.0,0.0,5.64
다크 하우스,141184.0,5.82,2.33,5.44
첫 키스만 50번째,38227.0,9.21,6.0,9.21
좋아하게 되는 그 순간을. ~고백실행위원회~,158502.0,8.44,5.0,8.33
꼬마참새 리차드: 아프리카 원정대,160464.0,8.71,0.0,8.71
파란나비효과,162150.0,9.5,6.43,6.32
파리의 밤이 열리면,158571.0,6.06,5.75,6.12
기프티드,143469.0,,,
꼬마돼지 베이브의 대모험,159521.0,7.81,0.0,7.63
트랜스포머: 사라진 시대,100691.0,7.44,4.67,6.59
플래툰,10039.0,9.33,0.0,9.15
8인의 수상한 신사들,138254.0,7.27,4.8,6.28
6 빌로우: 미라클 온 더 마운틴,168479.0,,,
맨 다운,130998.0,0.0,0.0,0.0
패왕별희,14448.0,9.78,0.0,9.37
극장판 암살교실: 365일의 시간,160750.0,8.72,0.0,8.47
공각기동대,23917.0,8.0,0.0,8.75
달기,20422.0,0.0,0.0,0.0
매직키드 보보,159407.0,8.02,0.0,7.54
맨 프럼 어스2: 홀로신,158642.0,0.0,0.0,0.0
공동정범,153936.0,9.38,7.67,8.22
콜로니: 인류 최후의 날,153540.0,0.0,0.0,1.26
맨 프럼 어스,48690.0,0.0,7.38,8.53
그녀는 거짓말을 너무 사랑해,109944.0,8.23,5.0,7.85
반도에 살어리랏다,154794.0,8.78,5.6,7.61
서바이벌 패밀리,159645.0,9.67,0.0,8.66
탠저린,134906.0,8.21,7.71,7.88
액시던트 맨,154276.0,0.0,0.0,0.0
돌아온다,162419.0,7.29,5.5,7.93
우리 사이의 거대한 산,164906.0,0.0,0.0,0.0
스톡홀름의 마지막 연인,146394.0,7.07,5.5,7.3
오버드라이브,92082.0,9.0,3.0,5.4
플랫라이너,152647.0,0.0,0.0,0.0
HHhH,144958.0,6.5,6.0,7.51
군중낙원,129052.0,0.0,0.0,7.44
언더월드: 블러드 워,137887.0,0.0,4.75,6.11
삼소야적검,151132.0,0.0,0.0,7.56
아주 긴 변명,154536.0,8.68,7.0,8.3
친구부부 : 욕망의 스와핑,157437.0,0.0,0.0,5.09
2:22,163372.0,0.0,0.0,0.0
멀홀랜드 드라이브,33158.0,10.0,0.0,7.55
리브 바이 나이트,113343.0,0.0,0.0,0.0
소녀,149282.0,0.0,0.0,0.0
로우,151810.0,0.0,0.0,0.0
더 월,154280.0,0.0,0.0,0.0
미스터 쉐프,151188.0,0.0,0.0,7.78
컨저링 2,114282.0,8.34,6.57,8.23
레스큐 언더 파이어,166661.0,0.0,0.0,5.88
도쿄 연애사건,144188.0,10.0,6.0,6.33
반지의 제왕: 두 개의 탑,31795.0,0.0,0.0,9.34
교주전: 천공의 눈,163782.0,0.0,0.0,0.0
갓 오브 워,164212.0,0.0,5.0,6.83
필그리미지,144965.0,0.0,0.0,0.0
북 오브 헨리,142638.0,0.0,0.0,0.0
맥스 스틸,129002.0,0.0,0.0,0.0
인시던트,130430.0,0.0,0.0,7.63
걱정말아요,152591.0,6.7,4.8,6.83
포켓몬 더 무비 XY&Z; 「볼케니온 : 기계왕국의 비밀」,152265.0,8.74,0.0,8.75
졸업반,157493.0,0.0,0.0,0.0
원피스 필름 골드,146214.0,9.12,6.78,8.95
내 남편의 가정교사,158788.0,0.0,0.0,6.9
가려진 시간,141259.0,8.24,6.68,8.45
자백,146534.0,9.6,7.67,9.31
최후의 Z,102805.0,10.0,0.0,6.12
"카페, 한 사람을 기다리다",126011.0,8.17,6.0,7.75
에이리언,10037.0,9.5,0.0,9.11
광야의 40일,121938.0,7.38,0.0,5.06
세일즈맨,149059.0,8.45,8.17,8.0
더 플루: 감염자들,147415.0,0.0,0.0,0.0
빈센트,132828.0,5.0,0.0,1.0
"히데, 정크 스토리",153003.0,0.0,0.0,0.0
라스트 로빈후드,172537.0,0.0,0.0,6.38
붉은 비키니,158894.0,0.0,0.0,0.0
국가의 탄생,143410.0,0.0,0.0,0.0
그레이의 50가지 그림자,115303.0,5.49,3.07,6.05
내 아내와 결혼해 주세요,155650.0,8.13,6.0,7.96
왓 해픈드 투 먼데이?,118955.0,,,
탐하다:욕망의 섬,163089.0,0.0,0.0,0.0
위자: 레저렉션,137394.0,0.0,0.0,3.41
티켓 다방,159508.0,0.0,0.0,0.0
유혹,158464.0,0.0,0.0,3.46
몽키킹 히어로: 손오공과 요괴왕의 대결,158743.0,0.0,0.0,6.28
삼국지: 명장 관우,76794.0,0.0,6.0,7.31
미스테리어스 스킨,41190.0,8.49,6.75,8.21
빛나는,162872.0,8.24,6.8,8.18
흥부 글로 세상을 바꾼 자,159805.0,,,
레드 스패로,151744.0,8.54,5.33,8.55
7년의 밤,85578.0,6.04,5.5,4.82
아인,157795.0,8.81,4.67,7.5
지금 만나러 갑니다,168298.0,8.98,5.5,8.72
블리딩 스틸,152663.0,10.0,4.33,5.81
사라진 밤,165026.0,7.94,4.67,6.99
플로리다 프로젝트,164719.0,8.91,8.5,8.56
신과함께-인과 연,167697.0,,,
툼레이더,158601.0,7.58,5.0,6.48
반딧불이 딘딘,171767.0,7.78,6.0,7.9
일진,170954.0,0.0,0.0,4.64
행맨,162296.0,0.0,3.0,5.42
괴물들,157011.0,5.8,3.0,3.94
온리 더 브레이브,151752.0,9.22,6.5,9.24
단지 그대가 여자라는 이유만으로,11485.0,0.0,0.0,7.83
22년째의 고백 - 내가 살인범이다 -,152267.0,,,
강철의 연금술사,156461.0,0.0,0.0,0.0
언프리티 소셜 스타,152698.0,8.56,6.33,7.92
다이노소어 아일랜드,155108.0,6.75,0.0,6.03
S.W.A.T.: 언더 시즈,165701.0,0.0,0.0,0.0
밀정,137952.0,8.57,7.5,8.42
땡큐 포 유어 서비스,149708.0,7.33,6.0,8.41
서유복요편,159804.0,0.0,0.0,0.0
아브릴과 조작된 세계,122917.0,8.67,6.72,7.86
극장판 도라에몽:신 진구의 버스 오브 재팬,141675.0,8.95,0.0,9.04
토르: 다크 월드,95873.0,0.0,6.46,8.37
아더라이프,164687.0,0.0,0.0,0.0
토르: 천둥의 신,69989.0,0.0,5.82,7.3
풍운대전,164212.0,,,
부시위크,159154.0,0.0,0.0,0.0
행성탈출: 반란의 서막,164217.0,0.0,0.0,5.0
어폴로지,151282.0,9.7,7.33,9.5
스타워즈: 깨어난 포스,100072.0,8.21,7.55,7.76
노트르담 드 파리,165524.0,9.32,0.0,8.7
디나이얼,144984.0,,,
임페리엄,142627.0,0.0,0.0,6.65
모건,137968.0,0.0,0.0,0.0
헤드샷,155021.0,0.0,0.0,0.0
부산행,130966.0,8.59,7.1,8.0
더 배드 배치,137905.0,0.0,0.0,0.0
해어화,120165.0,8.23,5.62,8.0
엄마친구 3,158720.0,0.0,0.0,7.49
만담강호,161006.0,10.0,4.33,8.47
세월호,157761.0,0.0,0.0,0.0
철도비호,144254.0,0.0,0.0,0.0
브림스톤,134896.0,0.0,0.0,0.0
어카운턴트,134859.0,8.15,4.0,8.31
목숨 건 연애,142263.0,7.53,4.0,4.31
캡틴 판타스틱,127396.0,8.97,7.5,8.68
매드맥스: 분노의 도로,77768.0,8.86,8.75,8.77
"그 시절, 우리가 좋아했던 소녀",88669.0,9.14,6.0,9.02
해리가 샐리를 만났을 때,10250.0,7.75,8.5,8.91
업 포 러브,146386.0,8.77,6.5,8.15
사랑은 부엉부엉,152486.0,7.71,6.0,7.47
파파좀비,157033.0,10.0,4.0,6.46
미스 사이공: 25주년 특별 공연,155123.0,9.36,0.0,9.17
내 친구의 아내 2,156645.0,0.0,0.0,5.22
번지 점프를 하다,30796.0,8.45,0.0,8.99
외계 대 침공,120576.0,0.0,0.0,4.22
몬스터 섬의 비밀,167103.0,8.25,0.0,7.87
올 아이즈 온 미,151289.0,8.51,4.5,8.01
극장판 위 베어 베어스: 곰 브라더스,166083.0,7.65,0.0,7.55
완벽한 거짓말,137295.0,8.73,5.5,8.35
스타쉽 트루퍼스: 트레이터 오브 마스,166481.0,0.0,0.0,0.0
넬리,154424.0,8.67,4.67,6.8
파리 시청 앞에서의 키스: 로베르 두아노,156238.0,7.84,6.4,7.95
케이지 다이브,157198.0,8.5,2.0,4.61
메건 리비,144957.0,0.0,0.0,0.0
미운 오리 새끼,88226.0,0.0,6.29,8.71
고양이 케디,158318.0,9.05,6.6,8.91
시간 여행자의 아내,68086.0,0.0,5.75,8.27
일 포스티노,17796.0,9.09,8.0,9.16
더 프로미스,140722.0,0.0,0.0,0.0
비치온더비치,155310.0,8.93,6.2,7.22
첩보원: 독일군 잠입작전,157450.0,0.0,0.0,6.0
신세계,91031.0,0.0,7.22,8.9
데스 노트,101932.0,0.0,0.0,0.0
클레멘타인,37886.0,0.0,0.0,9.33
더 벨코 익스페리먼트,143408.0,0.0,0.0,0.0
재꽃,156337.0,8.56,6.38,8.42
T2: 트레인스포팅 2,151170.0,0.0,0.0,0.0
샌드 캐슬,144915.0,0.0,0.0,0.0
아이 엠 낫 유어 니그로,154717.0,8.33,7.71,7.79
스페이스 워커,168130.0,0.0,0.0,0.0
신비한 동물들과 그린델왈드의 범죄,154255.0,7.48,5.33,6.28
조선명탐정 : 사라진 놉의 딸,123596.0,8.07,5.85,7.66
엄마의 맛,169528.0,0.0,0.0,5.0
국정교과서 516일: 끝나지 않은 역사전쟁,153298.0,8.86,5.0,4.66
래디우스,165820.0,0.0,0.0,0.0
수춘도 2: 수라전장,163781.0,0.0,0.0,8.09
사랑과 영혼,10173.0,0.0,6.0,9.19
퍼즐,161876.0,8.0,2.0,4.78
미스 푸줏간,144846.0,0.0,0.0,0.0
바이오해저드: 벤데타,164114.0,0.0,0.0,0.0
트랜스포머,61521.0,9.5,5.25,8.84
트랜스포머 3,70241.0,0.0,5.48,7.07
레더페이스,151171.0,4.0,6.0,5.89
페니 핀처,153994.0,7.96,6.0,8.0
툼디:부러진 검의 전설,165846.0,0.0,0.0,6.77
죽음의집,172008.0,0.0,0.0,0.0
다정불심,20408.0,0.0,0.0,3.8
아기배달부 스토크,144945.0,8.83,7.0,8.74
ARQ,154491.0,0.0,0.0,0.0
소림사 무림쟁패,163124.0,0.0,0.0,4.07
부니베어:로거빅 컴백홈 프로젝트,164342.0,6.56,0.0,6.77
닌자 어쌔신 리벤지,163031.0,0.0,0.0,4.22
도묘필기: 미이라의 부활,142644.0,0.0,0.0,5.0
더 킬러 : 소녀 살인,141159.0,0.0,0.0,0.0
사랑과 욕망의 짐노페디,154052.0,7.0,4.5,6.54
뮤지컬 쉬 러브즈 미,162816.0,9.13,6.0,9.11
어메이징 스파이더맨 2,94187.0,8.06,6.32,7.75
어느 독재자,130041.0,9.43,6.67,8.89
복성고조,17550.0,0.0,0.0,8.38
휴가,157012.0,9.0,0.0,6.32
프레셔스 카고 : 프로 범죄단,147077.0,0.0,0.0,5.86
시칠리아 햇빛아래,132675.0,7.71,4.5,6.69
노후 대책 없다,149478.0,7.87,7.5,7.3
신과함께-죄와벌,85579.0,,,
바이러스,125480.0,0.0,0.0,0.0
엘리자의 내일,150378.0,8.33,7.2,8.29
도살장,158869.0,0.0,0.0,4.0
소림사 무림탐정-취의전장,155104.0,0.0,0.0,4.5
원더우먼 스토리,154234.0,0.0,0.0,0.0
24 아워즈 투 라이브,169652.0,0.0,0.0,0.0
아기돼지 3형제와 쿵푸랜드,171754.0,8.25,0.0,9.14
프로젝트 메자,170697.0,0.0,0.0,4.6
킹덤 오브 글래디에이터,126285.0,0.0,0.0,4.0
소드 마스터: 절대 강호의 죽음,151132.0,,,
그물,149174.0,8.38,7.25,7.54
인페르노,129461.0,8.1,4.67,7.79
어 워: 라스트 미션,144929.0,0.0,0.0,0.0
라스트 데이즈 인 더 데저트,121938.0,,,
바이스: 범죄도시,122493.0,0.0,0.0,4.18
하이 스트렁,147660.0,9.0,4.0,7.32
스카이라인,76581.0,0.0,3.63,6.26
골든 타임,130960.0,0.0,0.0,0.0
베이블레이드 버스트 갓 : 갓 발키리의 탄생,163027.0,0.0,0.0,7.46
속사정,161317.0,0.0,0.0,6.0
신몽키킹: 여인천국,168165.0,0.0,0.0,4.3
조폭의 법칙2,164374.0,0.0,0.0,5.2
베테랑,115977.0,9.24,7.5,9.01
무림강호: 영웅불패의 신화,157483.0,0.0,0.0,5.0
간츠,76708.0,0.0,6.0,6.32
쇼콜라,144849.0,9.33,6.5,8.51
보케,159305.0,0.0,0.0,0.0
두처제2,170644.0,0.0,0.0,4.93
더 탱크,165589.0,0.0,0.0,5.92
원정여행,165559.0,0.0,0.0,5.0
바보계획,137859.0,,,
"로만 J 이스라엘, 에스콰이어",162238.0,0.0,0.0,0.0
나쁜 남자,32681.0,0.0,0.0,3.37
400 데이즈,144433.0,0.0,0.0,0.0
섹스돌,158738.0,0.0,0.0,0.0
더 쉐도우 이펙트,158691.0,,,
사랑받지 못한 여자,158748.0,0.0,0.0,7.68
닌자의 나라,159820.0,0.0,0.0,0.0
더 리투얼,167061.0,0.0,0.0,0.0
조선명탐정: 각시투구꽃의 비밀,76080.0,0.0,5.68,8.12
어라우저: 각성자들,164368.0,0.0,0.0,0.0
0,,,,
