rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,2601163600,38.3,-526323167,-16.8,28868540531,306265,-58735,-16.1,3571040,1039,5078,2017-11-05
2,2,0,OLD,20172603,부라더,2017-11-02,1868293700,27.5,-183191360,-8.9,5913912136,225890,-23797,-9.5,731562,889,4211,2017-11-05
3,3,0,OLD,20172742,범죄도시,2017-10-03,820742200,12.1,-119118167,-12.7,52171492911,94881,-14146,-13,6368998,605,2145,2017-11-05
4,4,0,OLD,20169643,침묵,2017-11-02,703798200,10.4,-76325240,-9.8,2456105464,84505,-8885,-9.5,302647,629,2535,2017-11-05
5,5,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,236049400,3.5,-17753600,-7,2739499700,27992,-2188,-7.2,345547,207,583,2017-11-05
6,6,0,OLD,20173724,직쏘,2017-11-02,170353300,2.5,-36889200,-17.8,678366700,18566,-4237,-18.6,76656,172,650,2017-11-05
7,7,0,OLD,20174902,신서유기 : 몽키킹의 부활,2017-11-02,48954700,0.7,6491400,15.3,104365600,6525,788,13.7,13983,211,287,2017-11-05
8,8,0,OLD,20173694,지오스톰,2017-10-19,35898200,0.5,-995733,-2.7,8460735614,5067,-135,-2.6,1025322,88,132,2017-11-05
9,9,0,OLD,20070454,원스,2007-09-20,36651600,0.5,-7445600,-16.9,1765644200,4297,-855,-16.6,255422,147,270,2017-11-05
10,10,3,OLD,20171817,넛잡 2,2017-10-03,23624800,0.3,3162000,15.5,3025768800,3127,391,14.3,404819,79,104,2017-11-05
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,563989300,29.5,-2037174300,-78.3,29432529831,71307,-234958,-76.7,3642347,943,4573,2017-11-06
2,2,0,OLD,20172603,부라더,2017-11-02,517585400,27.1,-1350708300,-72.3,6431497536,69429,-156461,-69.3,800991,824,3917,2017-11-06
