rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,19,OLD,20150971,해빙,2017-03-01,3220411500,36.3,3206331500,22772.2,3246080500,386128,384368,21839.1,389152,828,3969,2017-03-01
2,2,0,OLD,20161827,로건,2017-03-01,2278583500,25.7,1486230000,187.6,3078681000,256255,158261,161.5,355280,849,3782,2017-03-01
3,3,-2,OLD,20170241,23 아이덴티티,2017-02-22,1018527000,11.5,136271700,15.4,10613225500,119402,2847,2.4,1316094,540,2169,2017-03-01
4,4,-1,OLD,20166421,재심,2017-02-15,663812800,7.5,90765500,15.8,16796742737,80454,2591,3.3,2111160,545,1497,2017-03-01
5,5,-1,OLD,20161744,트롤,2017-02-16,429686700,4.8,191076700,80.1,4338000200,55644,20368,57.7,589253,383,714,2017-03-01
6,6,25,OLD,20158799,눈길,2017-03-01,291392500,3.3,287017500,6560.4,318570500,37284,36659,5865.4,41013,495,1278,2017-03-01
7,7,-2,OLD,20150964,조작된 도시,2017-02-09,149143600,1.7,-82530700,-35.6,19701486787,18446,-13291,-41.9,2458570,258,409,2017-03-01
8,8,1,OLD,20165927,문라이트,2017-02-22,110638200,1.2,35516600,47.3,563840900,13017,2750,26.8,71031,134,255,2017-03-01
9,9,1,OLD,20166468,사일런스,2017-02-28,94744600,1.1,42352400,80.8,173463500,11917,4887,69.5,21977,338,552,2017-03-01
10,10,-3,OLD,20166101,존 윅 - 리로드,2017-02-22,98326400,1.1,-8149900,-7.7,1783376700,11417,-2378,-17.2,220625,165,404,2017-03-01
1,1,1,OLD,20161827,로건,2017-03-01,717483800,32.4,-1561099700,-68.5,3796164800,91603,-164652,-64.3,446883,817,3587,2017-03-02
2,2,-1,OLD,20150971,해빙,2017-03-01,655762600,29.6,-2564648900,-79.6,3901843100,87354,-298774,-77.4,476506,802,3755,2017-03-02
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,247391100,11.2,-771135900,-75.7,10860616600,32123,-87279,-73.1,1348217,505,1981,2017-03-02
4,4,0,OLD,20166421,재심,2017-02-15,163100700,7.4,-500712100,-75.4,16959843437,22108,-58346,-72.5,2133268,497,1435,2017-03-02
5,5,1,OLD,20158799,눈길,2017-03-01,63344700,2.9,-228047800,-78.3,381915200,9072,-28212,-75.7,50085,438,1086,2017-03-02
6,6,2,OLD,20165927,문라이트,2017-02-22,40089100,1.8,-70549100,-63.8,603930000,5381,-7636,-58.7,76412,141,268,2017-03-02
7,7,-2,OLD,20161744,트롤,2017-02-16,38250100,1.7,-391436600,-91.1,4376250300,5369,-50275,-90.4,594622,250,372,2017-03-02
8,8,1,OLD,20166468,사일런스,2017-02-28,36239400,1.6,-58505200,-61.8,209702900,5136,-6781,-56.9,27113,327,572,2017-03-02
9,9,1,OLD,20166101,존 윅 - 리로드,2017-02-22,35080400,1.6,-63246000,-64.3,1818457100,4522,-6895,-60.4,225147,172,446,2017-03-02
10,10,-3,OLD,20150964,조작된 도시,2017-02-09,29531400,1.3,-119612200,-80.2,19731018187,3996,-14450,-78.3,2462566,263,405,2017-03-02
1,1,0,OLD,20161827,로건,2017-03-01,1058967148,37.2,341483348,47.6,4855131948,120875,29272,32,567758,852,3710,2017-03-03
2,2,0,OLD,20150971,해빙,2017-03-01,770505348,27.1,114742748,17.5,4672348448,91277,3923,4.5,567783,850,3969,2017-03-03
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,312842052,11.0,65450952,26.5,11173458652,36224,4101,12.8,1384441,499,2029,2017-03-03
4,4,0,OLD,20166421,재심,2017-02-15,204515100,7.2,41414400,25.4,17164358537,24979,2871,13,2158247,506,1490,2017-03-03
5,5,0,OLD,20158799,눈길,2017-03-01,63072100,2.2,-272600,-0.4,444987300,8157,-915,-10.1,58242,416,1034,2017-03-03
6,6,0,OLD,20165927,문라이트,2017-02-22,54519000,1.9,14429900,36,658449000,6545,1164,21.6,82957,162,300,2017-03-03
7,7,1,OLD,20166468,사일런스,2017-02-28,48776600,1.7,12537200,34.6,258479500,6131,995,19.4,33244,342,592,2017-03-03
8,8,1,OLD,20166101,존 윅 - 리로드,2017-02-22,48766500,1.7,13686100,39,1867223600,5593,1071,23.7,230740,170,436,2017-03-03
9,9,1,OLD,20150964,조작된 도시,2017-02-09,43770800,1.5,14239400,48.2,19774788987,5293,1297,32.5,2467859,264,429,2017-03-03
10,10,3,OLD,20167904,라라랜드,2016-12-07,45927000,1.6,20509900,80.7,27909541528,5279,1912,56.8,3337453,137,199,2017-03-03
1,1,0,OLD,20161827,로건,2017-03-01,2396326817,38.2,1337359669,126.3,7251458765,269110,148235,122.6,836868,926,4029,2017-03-04
2,2,0,OLD,20150971,해빙,2017-03-01,1626236917,25.9,855731569,111.1,6298585365,191841,100564,110.2,759624,915,4396,2017-03-04
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,669656283,10.7,356814231,114.1,11843114935,77733,41509,114.6,1462174,539,1970,2017-03-04
4,4,0,OLD,20166421,재심,2017-02-15,482742100,7.7,278227000,136,17647100637,57437,32458,129.9,2215684,535,1509,2017-03-04
5,5,7,OLD,20161744,트롤,2017-02-16,174559600,2.8,150649100,630.1,4574720400,22276,19318,653.1,619856,395,760,2017-03-04
6,6,-1,OLD,20158799,눈길,2017-03-01,125814300,2.0,62742200,99.5,570801600,16090,7933,97.3,74332,450,920,2017-03-04
7,7,3,OLD,20167904,라라랜드,2016-12-07,114154800,1.8,68227800,148.6,28023696328,13089,7810,147.9,3350542,165,253,2017-03-04
8,8,1,OLD,20150964,조작된 도시,2017-02-09,104955000,1.7,61184200,139.8,19879743987,12629,7336,138.6,2480488,259,438,2017-03-04
9,9,-3,OLD,20165927,문라이트,2017-02-22,99963900,1.6,45444900,83.4,758412900,11608,5063,77.4,94565,175,336,2017-03-04
10,10,-2,OLD,20166101,존 윅 - 리로드,2017-02-22,83014500,1.3,34248000,70.2,1950238100,9410,3817,68.2,240150,178,385,2017-03-04
1,1,0,OLD,20161827,로건,2017-03-01,2153128400,39.6,-243198417,-10.1,9404587165,242997,-26113,-9.7,1079865,954,4047,2017-03-05
2,2,0,OLD,20150971,해빙,2017-03-01,1277909300,23.5,-348327617,-21.4,7576494665,150264,-41577,-21.7,909888,896,4145,2017-03-05
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,561934400,10.3,-107721883,-16.1,12405049335,65168,-12565,-16.2,1527342,525,1885,2017-03-05
4,4,0,OLD,20166421,재심,2017-02-15,431965100,7.9,-50777000,-10.5,18079065737,51240,-6197,-10.8,2266924,534,1476,2017-03-05
5,5,0,OLD,20161744,트롤,2017-02-16,180860800,3.3,6301200,3.6,4755581200,22796,520,2.3,642652,389,763,2017-03-05
6,6,0,OLD,20158799,눈길,2017-03-01,123051900,2.3,-2762400,-2.2,693853500,15389,-701,-4.4,89721,436,885,2017-03-05
7,7,1,OLD,20150964,조작된 도시,2017-02-09,99962400,1.8,-4992600,-4.8,19979706387,11901,-728,-5.8,2492389,251,431,2017-03-05
8,8,-1,OLD,20167904,라라랜드,2016-12-07,100091300,1.8,-14063500,-12.3,28123787628,11473,-1616,-12.3,3362015,162,256,2017-03-05
9,9,0,OLD,20165927,문라이트,2017-02-22,96835300,1.8,-3128600,-3.1,855248200,10719,-889,-7.7,105284,180,346,2017-03-05
10,10,1,OLD,20166468,사일런스,2017-02-28,66839600,1.2,-7244200,-9.8,399402900,8442,-834,-9,50962,301,455,2017-03-05
1,1,0,OLD,20161827,로건,2017-03-01,681379000,43.8,-1471749400,-68.4,10085966165,87367,-155630,-64,1167232,886,3857,2017-03-06
2,2,0,OLD,20150971,해빙,2017-03-01,301544100,19.4,-976365200,-76.4,7878038765,39765,-110499,-73.5,949653,766,3482,2017-03-06
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,145155200,9.3,-416779200,-74.2,12550204535,18765,-46403,-71.2,1546107,469,1745,2017-03-06
4,4,0,OLD,20166421,재심,2017-02-15,115002000,7.4,-316963100,-73.4,18194067737,15650,-35590,-69.5,2282574,492,1422,2017-03-06
5,5,5,OLD,20166468,사일런스,2017-02-28,37643000,2.4,-29196600,-43.7,437045900,5482,-2960,-35.1,56444,321,498,2017-03-06
6,6,0,OLD,20158799,눈길,2017-03-01,35772700,2.3,-87279200,-70.9,729626200,5189,-10200,-66.3,94910,419,873,2017-03-06
7,7,2,OLD,20165927,문라이트,2017-02-22,35729800,2.3,-61105500,-63.1,890978000,4751,-5968,-55.7,110035,179,343,2017-03-06
8,8,0,OLD,20167904,라라랜드,2016-12-07,33095100,2.1,-66996200,-66.9,28156882728,4388,-7085,-61.8,3366403,156,269,2017-03-06
9,9,2,OLD,20166101,존 윅 - 리로드,2017-02-22,25878900,1.7,-41171600,-61.4,2043167500,3964,-3573,-47.4,251651,176,402,2017-03-06
10,10,-3,OLD,20150964,조작된 도시,2017-02-09,27730300,1.8,-72232100,-72.3,20007436687,3820,-8081,-67.9,2496209,236,412,2017-03-06
1,1,0,OLD,20161827,로건,2017-03-01,613191900,40.6,-68187100,-10,10699158065,78915,-8452,-9.7,1246147,877,3832,2017-03-07
2,2,0,OLD,20150971,해빙,2017-03-01,257946900,17.1,-43597200,-14.5,8135985665,34330,-5435,-13.7,983983,770,3443,2017-03-07
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,127320400,8.4,-17834800,-12.3,12677524935,16504,-2261,-12,1562611,470,1717,2017-03-07
4,4,0,OLD,20166421,재심,2017-02-15,112129000,7.4,-2873000,-2.5,18306196737,15439,-211,-1.3,2298013,500,1415,2017-03-07
5,5,1,OLD,20158799,눈길,2017-03-01,43960300,2.9,8187600,22.9,773586500,6355,1166,22.5,101265,422,876,2017-03-07
6,6,2,OLD,20167904,라라랜드,2016-12-07,42911400,2.8,9816300,29.7,28199794128,6040,1652,37.6,3372443,175,291,2017-03-07
7,7,0,OLD,20165927,문라이트,2017-02-22,40230400,2.7,4500600,12.6,931208400,5703,952,20,115738,191,357,2017-03-07
8,8,13,OLD,20167363,히든 피겨스,2017-03-23,40640000,2.7,37094000,1046.1,79462600,5080,4686,1189.3,9671,24,24,2017-03-07
9,9,-4,OLD,20166468,사일런스,2017-02-28,33177400,2.2,-4465600,-11.9,470223300,4793,-689,-12.6,61237,316,483,2017-03-07
10,10,-1,OLD,20166101,존 윅 - 리로드,2017-02-22,25765000,1.7,-113900,-0.4,2068932500,3990,26,0.7,255641,174,407,2017-03-07
1,1,16,OLD,20168183,콩: 스컬 아일랜드,2017-03-08,743887100,39.5,736127100,9486.2,792942100,93804,92834,9570.5,98822,780,3927,2017-03-08
2,2,-1,OLD,20161827,로건,2017-03-01,512820600,27.3,-100371300,-16.4,11211978665,66647,-12268,-15.5,1312794,822,3313,2017-03-08
3,3,-1,OLD,20150971,해빙,2017-03-01,170273600,9.1,-87673300,-34,8306259265,22936,-11394,-33.2,1006919,570,2314,2017-03-08
4,4,0,OLD,20166421,재심,2017-02-15,85839800,4.6,-26289200,-23.4,18392036537,11769,-3670,-23.8,2309782,435,1052,2017-03-08
5,5,-2,OLD,20170241,23 아이덴티티,2017-02-22,87311100,4.6,-40009300,-31.4,12764836035,11348,-5156,-31.2,1573959,396,1132,2017-03-08
6,6,0,OLD,20167904,라라랜드,2016-12-07,34450000,1.8,-8461400,-19.7,28234244128,4583,-1457,-24.1,3377026,166,296,2017-03-08
7,7,0,OLD,20165927,문라이트,2017-02-22,30705000,1.6,-9525400,-23.7,961913400,4179,-1524,-26.7,119917,138,266,2017-03-08
8,8,37,OLD,20168750,파도가 지나간 자리,2017-03-08,25687600,1.4,25039600,3864.1,39117100,3677,3569,3304.6,5166,228,459,2017-03-08
