rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20161725,마스터,2016-12-21,4399793100,46.3,-183705150,-4,44184434165,506299,-31485,-5.9,5441619,1245,5721,2017-01-01
2,2,0,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,1612424700,17.0,-351990650,-17.9,6739961794,173451,-40093,-18.8,769938,810,3335,2017-01-01
3,3,0,OLD,20162025,씽,2016-12-21,943975500,9.9,-118258900,-11.1,9147833289,115152,-18516,-13.9,1178327,721,1755,2017-01-01
4,4,1,OLD,20144641,판도라,2016-12-07,736891900,7.7,-35339100,-4.6,34692290064,87966,-6799,-7.2,4401830,576,1476,2017-01-01
5,5,-1,OLD,20167904,라라랜드,2016-12-07,770889600,8.1,-162044100,-17.4,20767028832,87529,-21007,-19.4,2472637,590,1578,2017-01-01
6,6,0,OLD,20161872,너의 이름은.,2017-01-04,325811500,3.4,31854500,10.8,640998500,37418,3245,9.5,74181,275,342,2017-01-01
7,7,0,OLD,20162727,루돌프와 많이있어,2016-12-28,243890000,2.6,-23742600,-8.9,926773600,29910,-4074,-12,119420,372,581,2017-01-01
8,8,0,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,154931400,1.6,-31745800,-17,1821568800,19405,-4703,-19.5,238452,300,422,2017-01-01
9,9,0,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,166222000,1.7,-30383700,-15.5,9165307248,18630,-4126,-18.1,1143445,261,572,2017-01-01
10,10,1,OLD,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016-12-21,28628400,0.3,-7085700,-19.8,482548500,3552,-985,-21.7,62699,97,107,2017-01-01
1,1,0,OLD,20161725,마스터,2016-12-21,1404122100,41.9,-2995671000,-68.1,45588556265,183423,-322876,-63.8,5625042,1161,5381,2017-01-02
2,2,1,OLD,20162025,씽,2016-12-21,510182500,15.2,-433793000,-46,9658015789,70667,-44485,-38.6,1248994,647,1718,2017-01-02
3,3,-1,OLD,20163183,로그 원: 스타워즈 스토리,2016-12-28,417157300,12.5,-1195267400,-74.1,7157119094,49916,-123535,-71.2,819854,756,3163,2017-01-02
4,4,1,OLD,20167904,라라랜드,2016-12-07,356232200,10.6,-414657400,-53.8,21123261032,45780,-41749,-47.7,2518417,556,1654,2017-01-02
5,5,-1,OLD,20144641,판도라,2016-12-07,283473300,8.5,-453418600,-61.5,34975763364,38072,-49894,-56.7,4439902,540,1495,2017-01-02
6,6,1,OLD,20162727,루돌프와 많이있어,2016-12-28,136419000,4.1,-107471000,-44.1,1063192600,19063,-10847,-36.3,138483,340,533,2017-01-02
7,7,2,OLD,20152371,"당신, 거기 있어줄래요",2016-12-14,77880200,2.3,-88341800,-53.1,9243187448,10133,-8497,-45.6,1153578,305,616,2017-01-02
8,8,0,OLD,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,64021400,1.9,-90910000,-58.7,1885590200,9156,-10249,-52.8,247608,246,353,2017-01-02
9,9,4,OLD,19890291,해리가 샐리를 만났을 때,1989-11-18,11575000,0.3,-5005900,-30.2,125812200,1507,-378,-20.1,16098,76,130,2017-01-02
10,10,1,OLD,20161763,"나, 다니엘 블레이크",2016-12-08,10015000,0.3,-8022800,-44.5,454899100,1362,-723,-34.7,57299,39,60,2017-01-02
