rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,1,OLD,20161726,임금님의 사건수첩,2017-04-26,1162464800,30.2,-628081400,-35.1,6764845718,158053,-57650,-26.7,880390,989,4983,2017-05-01
2,2,-1,OLD,20162871,특별시민,2017-04-26,1100381300,28.6,-774481100,-41.3,8091173945,149835,-73426,-32.9,1054079,1087,5255,2017-05-01
3,3,0,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,794300600,20.6,-404262500,-33.7,27188379948,106836,-34451,-24.4,3306160,755,2802,2017-05-01
4,4,0,OLD,20161665,스머프: 비밀의 숲,2017-04-28,283685000,7.4,-322448100,-53.2,1484945900,41692,-38392,-47.9,201546,537,1176,2017-05-01
5,5,0,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,97432200,2.5,-90296600,-48.1,549144500,13727,-10020,-42.2,70920,187,415,2017-05-01
6,6,0,OLD,20164721,미녀와 야수,2017-03-16,96551700,2.5,-35362900,-26.8,41890552579,13249,-2738,-17.1,5107360,250,411,2017-05-01
7,7,0,OLD,20151227,아빠는 딸,2017-04-12,53412500,1.4,-37871000,-41.5,4986082995,7570,-4006,-34.6,637222,300,554,2017-05-01
8,8,0,OLD,20173301,"서서평, 천천히 평온하게",2017-04-26,47282900,1.2,-15251100,-24.4,347644200,6683,-1271,-16,47029,194,287,2017-05-01
9,9,0,OLD,20164829,나는 부정한다,2017-04-26,18950500,0.5,-4867600,-20.4,109375025,2583,-282,-9.8,13966,92,150,2017-05-01
10,10,3,OLD,20172541,오두막,2017-04-20,17456100,0.5,2156000,14.1,392638600,2480,633,34.3,51808,31,51,2017-05-01
1,1,26,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1240607700,34.7,1236889700,33267.6,1244337700,148071,147655,35494,148489,1033,2563,2017-05-02
2,2,-1,OLD,20161726,임금님의 사건수첩,2017-04-26,746988900,20.9,-415475900,-35.7,7511834618,102367,-55686,-35.2,982757,1038,4284,2017-05-02
3,3,-1,OLD,20162871,특별시민,2017-04-26,599428500,16.8,-500952800,-45.5,8690602445,82119,-67716,-45.2,1136198,1134,4327,2017-05-02
4,4,-1,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,465023500,13.0,-329277100,-41.5,27653403448,63166,-43670,-40.9,3369326,725,2169,2017-05-02
5,5,-1,OLD,20161665,스머프: 비밀의 숲,2017-04-28,151245900,4.2,-132439100,-46.7,1636191800,23224,-18468,-44.3,224770,508,998,2017-05-02
6,6,0,OLD,20164721,미녀와 야수,2017-03-16,61908300,1.7,-34643400,-35.9,41952460879,8490,-4759,-35.9,5115850,215,341,2017-05-02
7,7,0,OLD,20151227,아빠는 딸,2017-04-12,40737900,1.1,-12674600,-23.7,5026820895,5963,-1607,-21.2,643185,278,433,2017-05-02
8,8,0,OLD,20173301,"서서평, 천천히 평온하게",2017-04-26,35569300,1.0,-11713600,-24.8,383213500,5134,-1549,-23.2,52163,186,267,2017-05-02
9,9,0,NEW,20162722,보안관,2017-05-03,42213000,1.2,42213000,100,189085900,5028,5028,100,22154,24,24,2017-05-02
10,10,-5,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,26019500,0.7,-71412700,-73.3,575164000,3656,-10071,-73.4,74576,159,312,2017-05-02
1,1,0,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,3708346100,36.2,2467738400,198.9,4952683800,422412,274341,185.3,570901,1166,5365,2017-05-03
2,2,0,NEW,20174061,보스 베이비,2017-05-03,1841294400,18.0,1841294400,100,1859070400,237463,237463,100,239685,799,2661,2017-05-03
3,3,6,OLD,20162722,보안관,2017-05-03,1707833700,16.7,1665620700,3945.8,1896919600,206706,201678,4011.1,228860,669,2682,2017-05-03
4,4,-2,OLD,20161726,임금님의 사건수첩,2017-04-26,1050917600,10.3,303928700,40.7,8562752218,128812,26445,25.8,1111569,640,2177,2017-05-03
5,5,-2,OLD,20162871,특별시민,2017-04-26,597927800,5.8,-1500700,-0.3,9288530245,72290,-9829,-12,1208488,597,1849,2017-05-03
6,6,-2,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,465764200,4.5,740700,0.2,28119167648,55437,-7729,-12.2,3424763,451,987,2017-05-03
7,7,-2,OLD,20161665,스머프: 비밀의 숲,2017-04-28,311594200,3.0,160348300,106,1947786000,41381,18157,78.2,266151,428,685,2017-05-03
8,8,7,OLD,20173061,슈퍼 빼꼼: 스파이 대작전,2017-05-03,145901900,1.4,136645900,1476.3,174497900,20063,18906,1634.1,23695,307,420,2017-05-03
9,9,1,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,106950100,1.0,80930600,311,682114100,13710,10054,275,88286,150,209,2017-05-03
10,10,0,NEW,20174501,오즈의 마법사 2,2017-05-03,54821600,0.5,54821600,100,59453600,7009,7009,100,7588,142,182,2017-05-03
1,1,0,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,2129890000,31.3,-1578456100,-42.6,7082573800,269106,-153306,-36.3,840007,1154,5308,2017-05-04
2,2,0,OLD,20174061,보스 베이비,2017-05-03,1410795500,20.7,-430498900,-23.4,3269865900,202935,-34528,-14.5,442620,863,2743,2017-05-04
3,3,0,OLD,20162722,보안관,2017-05-03,1426211000,21.0,-281622700,-16.5,3323130600,193863,-12843,-6.2,422723,758,2864,2017-05-04
4,4,0,OLD,20161726,임금님의 사건수첩,2017-04-26,630301700,9.3,-420615900,-40,9193053918,86504,-42308,-32.8,1198073,646,2163,2017-05-04
5,5,1,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,308482800,4.5,-157281400,-33.8,28427650448,41125,-14312,-25.8,3465888,462,1004,2017-05-04
6,6,-1,OLD,20162871,특별시민,2017-04-26,263029500,3.9,-334898300,-56,9551559745,35640,-36650,-50.7,1244128,549,1565,2017-05-04
7,7,0,OLD,20161665,스머프: 비밀의 숲,2017-04-28,210098600,3.1,-101495600,-32.6,2157884600,31826,-9555,-23.1,297977,422,642,2017-05-04
8,8,0,OLD,20173061,슈퍼 빼꼼: 스파이 대작전,2017-05-03,91180800,1.3,-54721100,-37.5,265678700,13913,-6150,-30.7,37608,315,424,2017-05-04
9,9,0,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,61868600,0.9,-45081500,-42.2,743982700,9012,-4698,-34.3,97298,134,192,2017-05-04
10,10,6,OLD,20175142,극장판 쿠로코의 농구 라스트 게임,2017-04-27,45872000,0.7,31185000,212.3,193043500,6665,4743,246.8,26102,73,107,2017-05-04
1,1,0,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,3269303748,29.3,1139413748,53.5,10351877548,373681,104575,38.9,1213688,1218,5221,2017-05-05
2,2,0,OLD,20174061,보스 베이비,2017-05-03,2753672236,24.7,1342876736,95.2,6023538136,352637,149702,73.8,795257,1116,3631,2017-05-05
3,3,0,OLD,20162722,보안관,2017-05-03,2320947094,20.8,894736094,62.7,5644077694,281401,87538,45.2,704124,878,3062,2017-05-05
4,4,0,OLD,20161726,임금님의 사건수첩,2017-04-26,1055355158,9.5,425053458,67.4,10248409076,130495,43991,50.9,1328568,663,1996,2017-05-05
5,5,2,OLD,20161665,스머프: 비밀의 숲,2017-04-28,394813200,3.5,184714600,87.9,2552697800,51877,20051,63,349854,488,856,2017-05-05
6,6,-1,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,428620500,3.8,120137700,38.9,28856270948,50923,9798,23.8,3516811,444,863,2017-05-05
7,7,-1,OLD,20162871,특별시민,2017-04-26,367265500,3.3,104236000,39.6,9918825245,44484,8844,24.8,1288612,510,1140,2017-05-05
8,8,0,OLD,20173061,슈퍼 빼꼼: 스파이 대작전,2017-05-03,162003500,1.5,70822700,77.7,427682200,21958,8045,57.8,59566,358,528,2017-05-05
9,9,0,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,133910300,1.2,72041700,116.4,877893000,17149,8137,90.3,114447,182,294,2017-05-05
10,10,1,OLD,20164721,미녀와 야수,2017-03-16,40316900,0.4,16071100,66.3,42051207879,4737,1521,47.3,5127793,58,77,2017-05-05
1,1,2,OLD,20162722,보안관,2017-05-03,2452801346,28.3,131854252,5.7,8096879040,294102,12701,4.5,998226,1069,3812,2017-05-06
2,2,-1,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,2557936407,29.5,-711367341,-21.8,12909813955,286689,-86992,-23.3,1500377,1133,4914,2017-05-06
3,3,-1,OLD,20174061,보스 베이비,2017-05-03,1742628799,20.1,-1011043437,-36.7,7766166935,219836,-132801,-37.7,1015093,1033,3468,2017-05-06
4,4,0,OLD,20161726,임금님의 사건수첩,2017-04-26,787254247,9.1,-268100911,-25.4,11035663323,95953,-34542,-26.5,1424521,668,2003,2017-05-06
5,5,1,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,375093700,4.3,-53526800,-12.5,29231364648,44131,-6792,-13.3,3560942,451,941,2017-05-06
6,6,1,OLD,20162871,특별시민,2017-04-26,226347500,2.6,-140918000,-38.4,10145172745,27522,-16962,-38.1,1316134,479,1019,2017-05-06
7,7,-2,OLD,20161665,스머프: 비밀의 숲,2017-04-28,154270100,1.8,-240543100,-60.9,2706967900,20561,-31316,-60.4,370415,421,676,2017-05-06
8,8,0,OLD,20173061,슈퍼 빼꼼: 스파이 대작전,2017-05-03,71142200,0.8,-90861300,-56.1,498824400,9731,-12227,-55.7,69297,308,437,2017-05-06
9,9,0,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,58932300,0.7,-74978000,-56,936825300,7504,-9645,-56.2,121951,148,225,2017-05-06
10,10,0,NEW,20170321,목소리의 형태,2017-05-09,29684200,0.3,29684200,100,59754400,3501,3501,100,6766,34,34,2017-05-06
1,1,0,OLD,20162722,보안관,2017-05-03,2210941500,31.0,-241859846,-9.9,10307820540,261919,-32183,-10.9,1260145,1091,4030,2017-05-07
2,2,0,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1984075400,27.8,-573861007,-22.4,14893889355,223461,-63228,-22.1,1723838,1084,4619,2017-05-07
3,3,0,OLD,20174061,보스 베이비,2017-05-03,1533772700,21.5,-208856099,-12,9299939635,192172,-27664,-12.6,1207265,996,3356,2017-05-07
4,4,0,OLD,20161726,임금님의 사건수첩,2017-04-26,564665000,7.9,-222589247,-28.3,11600328323,68526,-27427,-28.6,1493047,678,1961,2017-05-07
5,5,0,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,262152100,3.7,-112941600,-30.1,29493516748,30612,-13519,-30.6,3591554,446,937,2017-05-07
6,6,0,OLD,20162871,특별시민,2017-04-26,147873200,2.1,-78474300,-34.7,10293045945,17950,-9572,-34.8,1334084,476,947,2017-05-07
7,7,0,OLD,20161665,스머프: 비밀의 숲,2017-04-28,119137100,1.7,-35133000,-22.8,2826105000,15744,-4817,-23.4,386159,416,643,2017-05-07
8,8,0,OLD,20173061,슈퍼 빼꼼: 스파이 대작전,2017-05-03,58251800,0.8,-12890400,-18.1,557076200,7770,-1961,-20.2,77067,304,414,2017-05-07
9,9,0,OLD,20174165,극장판 또봇: 로봇군단의 습격,2017-04-27,48911300,0.7,-10021000,-17,985736600,6148,-1356,-18.1,128099,139,201,2017-05-07
10,10,1,OLD,20173301,"서서평, 천천히 평온하게",2017-04-26,28101000,0.4,772300,2.8,519530800,3588,200,5.9,69553,102,127,2017-05-07
1,1,0,OLD,20162722,보안관,2017-05-03,1106714000,38.2,-1104227500,-49.9,11414534540,149813,-112106,-42.8,1409958,947,4299,2017-05-08
2,2,0,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,823989500,28.5,-1160085900,-58.5,15717878855,102201,-121260,-54.3,1826039,999,4445,2017-05-08
3,3,0,OLD,20174061,보스 베이비,2017-05-03,364931400,12.6,-1168841300,-76.2,9664871035,48542,-143630,-74.7,1255807,771,2660,2017-05-08
4,4,0,OLD,20161726,임금님의 사건수첩,2017-04-26,237734900,8.2,-326930100,-57.9,11838063223,32564,-35962,-52.5,1525611,601,2091,2017-05-08
5,5,0,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,136234300,4.7,-125917800,-48,29629751048,18064,-12548,-41,3609618,439,1002,2017-05-08
6,6,0,OLD,20162871,특별시민,2017-04-26,84389000,2.9,-63484200,-42.9,10377434945,11613,-6337,-35.3,1345697,478,1046,2017-05-08
7,7,3,OLD,20173301,"서서평, 천천히 평온하게",2017-04-26,16071500,0.6,-12029500,-42.8,535602300,2276,-1312,-36.6,71829,104,145,2017-05-08
8,8,0,NEW,20156708,석조저택 살인사건,2017-05-09,14560000,0.5,14560000,100,43612000,1820,1820,100,5540,9,9,2017-05-08
9,9,-2,OLD,20161665,스머프: 비밀의 숲,2017-04-28,9753600,0.3,-109383500,-91.8,2835858600,1501,-14243,-90.5,387660,233,296,2017-05-08
10,10,3,OLD,20163185,언노운 걸,2017-05-03,9070300,0.3,-5917300,-39.5,107298100,1235,-556,-31,13135,61,83,2017-05-08
1,1,16,OLD,20179382,에이리언: 커버넌트,2017-05-09,2310310850,23.1,2304330850,38534,2329985850,279185,278587,46586.5,281028,841,3592,2017-05-09
2,2,1,OLD,20174061,보스 베이비,2017-05-03,1999922200,20.0,1634990800,448,11664793235,261424,212882,438.6,1517231,764,2524,2017-05-09
3,3,-2,OLD,20162722,보안관,2017-05-03,1988366800,19.9,881652800,79.7,13402901340,241627,91814,61.3,1651585,806,3366,2017-05-09
4,4,-2,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1592356800,16.0,768367300,93.2,17310235655,183247,81046,79.3,2009286,748,2884,2017-05-09
5,5,3,OLD,20156708,석조저택 살인사건,2017-05-09,686422300,6.9,671862300,4614.4,730034300,84068,82248,4519.1,89608,493,1921,2017-05-09
6,6,10,OLD,20170321,목소리의 형태,2017-05-09,576663700,5.8,571929200,12080,661083700,74057,73433,11768.1,83782,450,1019,2017-05-09
7,7,-3,OLD,20161726,임금님의 사건수첩,2017-04-26,275732000,2.8,37997100,16,12113795223,35102,2538,7.8,1560713,433,888,2017-05-09
8,8,1,OLD,20161665,스머프: 비밀의 숲,2017-04-28,131901700,1.3,122148100,1252.3,2967760300,17896,16395,1092.3,405556,247,318,2017-05-09
9,9,-4,OLD,20167542,분노의 질주: 더 익스트림,2017-04-12,88767500,0.9,-47466800,-34.8,29718518548,10874,-7190,-39.8,3620492,195,289,2017-05-09
