rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20161481,군함도,2017-07-26,2967903300,48.6,-510534700,-14.7,37723807840,402094,-66046,-14.1,4940314,1848,9518,2017-08-01
2,2,0,OLD,20173403,슈퍼배드 3,2017-07-26,1687174300,27.6,-157367800,-8.5,12595831120,242820,-21270,-8.1,1732749,997,4159,2017-08-01
3,3,0,OLD,20164621,덩케르크,2017-07-20,755057300,12.4,-55455400,-6.8,20280516133,89585,-6823,-7.1,2365485,691,2122,2017-08-01
4,4,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,252998700,4.1,-10304600,-3.9,58674983320,34024,-1378,-3.9,7201425,497,893,2017-08-01
5,5,0,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,130169300,2.1,10323600,8.6,1995735600,19491,1717,9.7,274381,263,375,2017-08-01
6,6,1,OLD,20174801,내 사랑,2017-07-12,48192200,0.8,8021900,20,1735226825,7810,1498,23.7,228365,99,181,2017-08-01
7,7,-1,OLD,20177181,47 미터,2017-07-19,54030100,0.9,-3557300,-6.2,4671184757,7384,-376,-4.8,588045,323,473,2017-08-01
8,8,-1,OLD,20177501,플립,2017-07-12,44442000,0.7,-2438600,-5.2,2708682900,5927,-385,-6.1,340956,124,246,2017-08-01
9,9,0,OLD,20175522,카3: 새로운 도전,2017-07-13,26302900,0.4,919700,3.6,3547755401,3893,185,5,480313,74,89,2017-08-01
10,10,1,OLD,20162442,청년경찰,2017-08-09,28296000,0.5,5551000,24.4,168347200,3537,784,28.5,20548,18,18,2017-08-01
1,1,0,NEW,20162869,택시운전사,2017-08-02,5116354700,53.4,5116354700,100,5687344800,698088,698088,100,784801,1446,7068,2017-08-02
2,2,-1,OLD,20161481,군함도,2017-07-26,1826982300,19.1,-1140921000,-38.4,39550790140,248200,-153894,-38.3,5188514,1109,4924,2017-08-02
3,3,-1,OLD,20173403,슈퍼배드 3,2017-07-26,1307515600,13.6,-379658700,-22.5,13903346720,189977,-52843,-21.8,1922726,844,2986,2017-08-02
4,4,11,OLD,20170124,명탐정 코난:진홍의 연가,2017-08-02,645190000,6.7,638854000,10082.9,664845000,94241,93185,8824.3,96959,546,1129,2017-08-02
5,5,-2,OLD,20164621,덩케르크,2017-07-20,371246800,3.9,-383810500,-50.8,20651762933,40643,-48942,-54.6,2406128,438,951,2017-08-02
6,6,-1,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,55231300,0.6,-74938000,-57.6,2050966900,8308,-11183,-57.4,282689,123,145,2017-08-02
7,7,-3,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,60191300,0.6,-192807400,-76.2,58735174620,8123,-25901,-76.1,7209548,117,187,2017-08-02
8,8,0,NEW,20179186,이모티: 더 무비,2017-08-02,46349500,0.5,46349500,100,47557500,6710,6710,100,6861,126,264,2017-08-02
9,9,-3,OLD,20174801,내 사랑,2017-07-12,30126500,0.3,-18065700,-37.5,1765353325,4733,-3077,-39.4,233098,59,136,2017-08-02
10,10,0,NEW,20161081,애나벨 : 인형의 주인,2017-08-10,24408000,0.3,24408000,100,24408000,3051,3051,100,3051,9,10,2017-08-02
1,1,0,OLD,20162869,택시운전사,2017-08-02,4825521000,57.4,-290833700,-5.7,10512865800,651779,-46309,-6.6,1436580,1553,7293,2017-08-03
2,2,0,OLD,20161481,군함도,2017-07-26,1462878500,17.4,-364103800,-19.9,41013668640,199203,-48997,-19.7,5387717,1075,4628,2017-08-03
3,3,0,OLD,20173403,슈퍼배드 3,2017-07-26,1087898100,12.9,-219617500,-16.8,14991244820,158155,-31822,-16.8,2080881,859,2955,2017-08-03
4,4,0,OLD,20170124,명탐정 코난:진홍의 연가,2017-08-02,374427600,4.5,-270762400,-42,1039272600,54243,-39998,-42.4,151202,582,1198,2017-08-03
5,5,0,OLD,20164621,덩케르크,2017-07-20,344822200,4.1,-26424600,-7.1,20996585133,37230,-3413,-8.4,2443358,432,909,2017-08-03
6,6,0,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,48053000,0.6,-7178300,-13,2099019900,7209,-1099,-13.2,289898,120,141,2017-08-03
7,7,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,52714100,0.6,-7477200,-12.4,58787888720,7051,-1072,-13.2,7216599,116,189,2017-08-03
8,8,0,OLD,20179186,이모티: 더 무비,2017-08-02,40854800,0.5,-5494700,-11.9,88412300,5963,-747,-11.1,12824,134,258,2017-08-03
9,9,0,OLD,20174801,내 사랑,2017-07-12,26070800,0.3,-4055700,-13.5,1791424125,4172,-561,-11.9,237270,62,120,2017-08-03
10,10,9,OLD,20178762,파리로 가는 길,2017-08-03,29270800,0.3,24585800,524.8,35443800,4001,3418,586.3,4770,79,114,2017-08-03
1,1,0,OLD,20162869,택시운전사,2017-08-02,5809978335,61.1,984457335,20.4,16322844135,707113,55334,8.5,2143693,1677,7850,2017-08-04
2,2,0,OLD,20161481,군함도,2017-07-26,1539234185,16.2,76355685,5.2,42552902825,187684,-11519,-5.8,5575401,1018,4273,2017-08-04
3,3,0,OLD,20173403,슈퍼배드 3,2017-07-26,1094030795,11.5,6132695,0.6,16085275615,143904,-14251,-9,2224785,884,3012,2017-08-04
4,4,0,OLD,20170124,명탐정 코난:진홍의 연가,2017-08-02,326395300,3.4,-48032300,-12.8,1365667900,42806,-11437,-21.1,194008,557,1162,2017-08-04
5,5,0,OLD,20164621,덩케르크,2017-07-20,421078720,4.4,76256520,22.1,21417663853,41859,4629,12.4,2485217,430,916,2017-08-04
6,6,0,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,54087300,0.6,6034300,12.6,2153107200,7177,-32,-0.4,297075,132,158,2017-08-04
7,7,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,59579600,0.6,6865500,13,58847468320,7144,93,1.3,7223743,116,192,2017-08-04
