rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20175222,킹스맨: 골든 서클,2017-09-27,5369227400,62.9,82491380,1.6,18908661696,619904,1020,0.2,2350671,1678,8530,2017-10-01
2,2,0,OLD,20174142,아이 캔 스피크,2017-09-21,1848068600,21.7,233861820,14.5,12768712714,226757,23857,11.8,1649352,897,4262,2017-10-01
3,3,0,OLD,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,298315100,3.5,2903700,1,688405300,39598,-229,-0.6,93109,485,963,2017-10-01
4,4,0,OLD,20170364,레고 닌자고 무비,2017-09-28,245057000,2.9,12295300,5.3,567461300,32228,1027,3.3,75256,459,828,2017-10-01
5,5,0,OLD,20154909,살인자의 기억법,2017-09-06,235672700,2.8,29726600,14.4,21109814192,28608,3022,11.8,2622858,460,935,2017-10-01
6,6,1,OLD,20171962,킬러의 보디가드,2017-08-30,84443500,1.0,12404400,17.2,13570198600,14014,2321,19.8,1645640,162,274,2017-10-01
7,7,-1,OLD,20171090,베이비 드라이버,2017-09-14,104083100,1.2,5639820,5.7,6533886214,12584,466,3.8,801579,280,476,2017-10-01
8,8,0,OLD,20172627,리틀 프린세스 소피아 : 신비한 섬,2017-09-28,60569000,0.7,10064000,19.9,126918500,8599,1407,19.6,17783,129,262,2017-10-01
9,9,1,OLD,20173945,인비저블 게스트,2017-09-21,52774100,0.6,6234700,13.4,656899100,6275,557,9.7,81574,103,178,2017-10-01
10,10,-1,OLD,20166132,김광석,2017-08-30,48533200,0.6,-1750900,-3.5,654930100,5738,-348,-5.7,82945,123,212,2017-10-01
1,1,0,OLD,20175222,킹스맨: 골든 서클,2017-09-27,3667209900,57.3,-1702017500,-31.7,22575871596,475202,-144702,-23.3,2825873,1661,8436,2017-10-02
2,2,0,OLD,20174142,아이 캔 스피크,2017-09-21,1596664100,24.9,-251404500,-13.6,14365376814,219081,-7676,-3.4,1868433,921,4352,2017-10-02
3,3,0,OLD,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,226843300,3.5,-71471800,-24,915248600,33487,-6111,-15.4,126596,486,953,2017-10-02
4,4,0,OLD,20170364,레고 닌자고 무비,2017-09-28,194563100,3.0,-50493900,-20.6,762024400,28597,-3631,-11.3,103853,453,832,2017-10-02
5,5,0,OLD,20154909,살인자의 기억법,2017-09-06,194182700,3.0,-41490000,-17.6,21303996892,26070,-2538,-8.9,2648928,451,924,2017-10-02
6,6,0,OLD,20171962,킬러의 보디가드,2017-08-30,79526000,1.2,-4917500,-5.8,13649724600,13216,-798,-5.7,1658856,169,289,2017-10-02
7,7,0,OLD,20171090,베이비 드라이버,2017-09-14,94625700,1.5,-9457400,-9.1,6628511914,12741,157,1.2,814320,279,486,2017-10-02
8,8,0,NEW,20165450,남한산성,2017-10-03,77640000,1.2,77640000,100,235401800,9722,9722,100,28918,40,41,2017-10-02
9,9,-1,OLD,20172627,리틀 프린세스 소피아 : 신비한 섬,2017-09-28,53416500,0.8,-7152500,-11.8,180335000,8238,-361,-4.2,26021,135,275,2017-10-02
