rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20171962,킬러의 보디가드,2017-08-30,1020255300,31.1,377962700,58.8,2555064200,116881,35684,43.9,337755,401,1974,2017-09-01
2,2,1,OLD,20162442,청년경찰,2017-08-09,465721800,14.2,131542200,39.4,40393771516,56997,10828,23.5,5148210,640,2383,2017-09-01
3,3,-1,OLD,20162869,택시운전사,2017-08-02,393791700,12.0,58421200,17.4,91837594649,48618,1310,2.8,11673584,625,2219,2017-09-01
4,4,0,OLD,20158047,발레리안: 천 개 행성의 도시,2017-08-30,403912241,12.3,97368241,31.8,1230994641,46692,6612,16.5,167339,583,2349,2017-09-01
5,5,0,OLD,20164174,브이아이피,2017-08-23,278548382,8.5,54036082,24.1,9671388707,33664,3052,10,1213617,582,2024,2017-09-01
6,6,0,OLD,20179491,아토믹 블론드,2017-08-30,151734559,4.6,28643259,23.3,463980659,18384,1326,7.8,66226,441,1718,2017-09-01
7,7,1,OLD,20151003,장산범,2017-08-17,131723118,4.0,44527918,51.1,9698304877,15711,4159,36,1226893,341,823,2017-09-01
8,8,-1,OLD,20179407,로마의 휴일,2017-08-30,115094382,3.5,13501582,13.3,448470182,14784,352,2.4,64626,403,1594,2017-09-01
9,9,1,OLD,20179901,혹성탈출: 종의 전쟁,2017-08-15,54176900,1.7,14064900,35.1,16530688478,6537,924,16.5,2011196,202,369,2017-09-01
10,10,-1,OLD,20179187,공범자들,2017-08-17,50200500,1.5,6481900,14.8,1449789600,6108,117,2,184108,176,317,2017-09-01
1,1,0,OLD,20171962,킬러의 보디가드,2017-08-30,1975734600,30.1,955479300,93.7,4530798800,227264,110383,94.4,565019,462,2364,2017-09-02
2,2,0,OLD,20162442,청년경찰,2017-08-09,1014777100,15.5,549055300,117.9,41408548616,121617,64620,113.4,5269827,681,2726,2017-09-02
3,3,1,OLD,20158047,발레리안: 천 개 행성의 도시,2017-08-30,931941067,14.2,528028826,130.7,2162935708,108271,61579,131.9,275610,629,2453,2017-09-02
4,4,-1,OLD,20162869,택시운전사,2017-08-02,827171300,12.6,433379600,110.1,92664765949,98741,50123,103.1,11772325,683,2475,2017-09-02
