director,movieCd,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
장유정,20172603,부라더,160749.0,7.83,5.8,7.27
정지우,20169643,침묵,153642.0,8.25,6.09,7.78
피터 스피어이그,20173724,직쏘,152268.0,0.0,4.0,7.27
이시즈카 아츠코,20173806,노 게임 노 라이프 -제로-,164968.0,8.0,0.0,7.14
방은진,20173612,메소드,165669.0,8.08,4.83,8.25
진광교,20177342,내게 남은 사랑을,164108.0,8.67,5.0,8.17
텐 샤오펑,20174902,신서유기 : 몽키킹의 부활,143250.0,8.6,0.0,7.28
캘런 브런커,20171817,넛잡 2,121052.0,8.63,5.0,8.78
이안규,20161681,미옥,142317.0,6.99,4.33,4.99
나타우트 푼프리야,20173804,배드 지니어스,163386.0,8.76,6.4,8.61
마크 웹,20173931,리빙보이 인 뉴욕,99093.0,8.19,5.17,7.47
타케모토 노보루,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,158576.0,8.76,0.0,8.66
이용승,20168754,7호실,155715.0,7.12,6.43,6.55
스도 토모노리,20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,169262.0,9.18,0.0,7.01
루이스 프리에토,20174222,키드냅,164986.0,10.0,5.5,6.91
김홍선,20173903,역모-반란의 시대,142210.0,6.67,3.33,3.84
미츠나카 스스무,20174778,하이큐!! 재능과 센스,169348.0,9.56,0.0,9.2
타파스 차크라바르티,20175288,피터와 모글리의 크리스마스 어드벤처,169850.0,7.4,0.0,7.05
매튜 본,20175222,킹스맨: 골든 서클,149747.0,8.61,5.0,8.39
우시로 신지,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,156200.0,8.59,5.0,8.31
찰리 빈,20170364,레고 닌자고 무비,125439.0,8.7,4.0,8.43
원신연,20154909,살인자의 기억법,137890.0,8.17,5.78,7.69
패트릭 휴즈,20171962,킬러의 보디가드,152625.0,9.1,5.6,8.39
에드가 라이트,20171090,베이비 드라이버,143402.0,8.41,7.67,8.01
제이미 미첼,20172627,리틀 프린세스 소피아 : 신비한 섬,165514.0,8.64,0.0,8.5
오리올 파울로,20173945,인비저블 게스트,159516.0,8.84,6.5,8.94
이상호,20166132,김광석,151674.0,8.9,6.0,8.73
줄리오 소토 거피드,20170964,딥,163663.0,7.99,0.0,8.08
드니 빌뇌브,20168282,블레이드 러너 2049,88227.0,8.21,8.22,7.97
곽경택,20154907,희생부활자,140696.0,6.62,5.17,6.09
마이크 밀스,20171312,우리의 20세기,143390.0,8.42,6.75,8.25
마크 웹,20173092,어메이징 메리,143469.0,9.09,0.0,9.19
전진,20169463,다시 태어나도 우리,154573.0,9.26,6.5,9.35
해리 클레븐,20172942,나의 엔젤,162200.0,8.08,7.0,8.23
니키 카로,20175943,주키퍼스 와이프,143489.0,8.58,6.0,8.37
뤽 베송,20158047,발레리안: 천 개 행성의 도시,137970.0,8.11,5.56,7.8
대런 아로노프스키,20172064,마더!,152650.0,7.19,7.25,5.99
나루시마 이즈루,20176761,잠깐만 회사 좀 관두고 올게,159741.0,8.21,6.0,8.12
신수원,20164481,유리정원,149517.0,8.18,6.0,6.94
룬 스파안스,20174103,배저로와 친구들: 신비한 모험,162113.0,6.91,0.0,7.1
김주환,20162442,청년경찰,153652.0,9.03,5.1,8.33
장훈,20162869,택시운전사,146469.0,9.28,6.09,9.04
박훈정,20164174,브이아이피,152170.0,6.87,5.0,6.51
데이빗 레이치,20179491,아토믹 블론드,144215.0,8.05,6.43,7.89
허정,20151003,장산범,137696.0,7.42,5.8,6.16
이덕희,20179407,로마의 휴일,155680.0,7.68,3.0,6.79
맷 리브스,20179901,혹성탈출: 종의 전쟁,143394.0,8.15,7.75,7.92
최승호,20179187,공범자들,165461.0,9.61,6.44,9.13
안드레스 무시에티,20179696,그것,154668.0,7.66,6.6,6.96
소피아 코폴라,20170268,매혹당한 사람들,154267.0,7.77,7.0,6.84
닛타 노리오,20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,167035.0,0.0,0.0,8.03
최진성,20171923,저수지 게임,162824.0,9.69,6.67,9.2
레오폴도 아귈라,20172148,몬스터 섬의 비밀,167103.0,8.25,0.0,7.87
이마이즈미 리키야,20160703,"좋아해, 너를",144213.0,8.25,4.5,8.48
더그 라이만,20177541,아메리칸 메이드,137945.0,7.71,6.67,7.72
후안 안토니오 바요나,20170607,몬스터 콜,125401.0,8.59,6.88,8.57
테일러 쉐리던,20170302,윈드 리버,149757.0,8.52,7.33,8.52
류승완,20161481,군함도,146506.0,7.34,6.17,5.28
제임스 그레이,20168241,잃어버린 도시 Z,70627.0,7.06,6.83,7.06
피에르 꼬팽,20173403,슈퍼배드 3,132626.0,8.76,5.0,8.69
크리스토퍼 놀란,20164621,덩케르크,146480.0,8.62,8.55,8.29
존 와츠,20167303,스파이더맨: 홈 커밍,135874.0,8.83,7.0,8.38
하시모토 마사카즈,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,156477.0,8.67,0.0,8.65
에이슬링 월쉬,20174801,내 사랑,154437.0,9.17,6.71,9.17
조하네스 로버츠,20177181,47 미터,152616.0,7.33,4.0,7.24
롭 라이너,20177501,플립,76309.0,9.11,6.0,9.2
브라이언 피,20175522,카3: 새로운 도전,152396.0,8.62,5.5,8.51
시즈노 코분,20170124,명탐정 코난:진홍의 연가,159054.0,8.9,6.0,8.8
토니 레온디스,20179186,이모티: 더 무비,158651.0,7.64,7.0,6.34
데이비드 F. 샌드버그,20161081,애나벨 : 인형의 주인,152341.0,7.59,7.0,7.29
엘레노어 코폴라,20178762,파리로 가는 길,154458.0,8.12,5.17,7.9
제레미 드그루손,20178641,빅풋 주니어,165025.0,8.82,0.0,8.87
다카하시 아츠시,20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,141675.0,8.95,0.0,9.04
니콜라이 아르셀,20170022,다크타워: 희망의 탑,146407.0,7.38,4.25,7.35
김종관,20165001,더 테이블,151117.0,8.32,5.5,7.98
매니 에르난데스,20170389,극장판 위 베어 베어스: 곰 브라더스,166083.0,7.65,0.0,7.55
이준익,20178982,박열,155716.0,8.48,6.7,8.09
마이클 베이,20166967,트랜스포머: 최후의 기사,123630.0,6.9,2.83,6.3
이사랑,20159647,리얼,137008.0,4.42,2.67,4.24
봉준호,20158485,옥자,143435.0,8.77,7.33,8.45
알렉스 커츠먼,20166488,미이라,120160.0,7.49,5.71,7.24
조선호,20166384,하루,152168.0,7.69,4.6,7.08
켈리 프레몬,20176961,지랄발광 17세,149776.0,0.0,6.4,7.94
정병길,20162343,악녀,155256.0,7.82,5.4,6.95
정량,20178121,부니베어: 로거빅 컴백홈 프로젝트,164342.0,6.56,0.0,6.77
존 카메론 밋첼,20020186,헤드윅,31827.0,9.46,0.0,9.2
