period,ratio,1
2018-02-08,52.97656,58
2018-02-09,69.07853,43
2018-02-10,99.76646,69
2018-02-11,100.0,69
2018-02-12,65.99905,54
2018-02-13,63.814119999999996,42
2018-02-14,57.96785,29
2018-02-15,65.00554,25
2018-02-16,73.15943,15
2018-02-17,82.73432,23
2018-02-18,60.679219999999994,33
2018-02-19,39.35243,20
2018-02-20,31.610190000000003,11
2018-02-21,32.4612,13
2018-02-22,40.41323,18
2018-02-23,37.3575,15
2018-02-24,42.41212,17
2018-02-25,39.340559999999996,23
2018-02-26,35.61589,19
2018-02-27,36.6569,24
2018-02-28,45.372859999999996,11
2018-03-01,30.790840000000003,25
2018-03-02,20.07995,10
2018-03-03,30.604809999999997,14
2018-03-04,19.64851,18
2018-03-05,7.59974,11
2018-03-06,4.25902,6
2018-03-07,4.17194,5
2018-03-08,5.810630000000001,4
