period,ratio,1
2017-01-04,100.0,220
2017-01-05,46.72937,228
2017-01-06,46.961490000000005,119
2017-01-07,32.53004,77
2017-01-08,20.86696,93
2017-01-09,23.528579999999998,71
2017-01-10,12.10718,52
2017-01-11,8.74215,17
2017-01-12,8.15202,24
2017-01-13,7.51305,17
2017-01-14,9.06138,20
2017-01-15,8.0201,11
2017-01-16,5.1334,4
2017-01-17,4.52062,13
2017-01-18,4.74116,4
2017-01-19,4.15355,8
2017-01-20,4.47631,7
2017-01-21,3.8549599999999997,5
2017-01-22,3.6832599999999998,3
2017-01-23,3.23714,8
2017-01-24,3.13845,1
2017-01-25,3.9793300000000005,4
2017-01-26,28.202270000000002,50
2017-01-27,31.386540000000004,88
2017-01-28,21.79747,50
2017-01-29,20.93242,63
2017-01-30,20.6152,42
2017-01-31,15.14644,34
2017-02-01,10.71797,25
2017-02-02,8.46823,20
2017-02-03,7.64497,22
2017-02-04,71.34354,28
