period,ratio,1
2017-04-12,53.35105,740
2017-04-13,47.4527,763
2017-04-14,62.14294,519
2017-04-15,60.13973000000001,724
2017-04-16,57.73463,887
2017-04-17,71.09558,508
2017-04-18,67.28699999999999,327
2017-04-19,53.74675,277
2017-04-20,57.802640000000004,245
2017-04-21,56.97415,230
2017-04-22,65.11685,391
2017-04-23,66.55743000000001,499
2017-04-24,60.02225,237
2017-04-25,59.24941,191
2017-04-26,100.0,212
2017-04-27,46.08631,156
2017-04-28,47.601079999999996,143
2017-04-29,57.073080000000004,224
2017-04-30,71.1945,306
2017-05-01,53.011,278
2017-05-02,75.61518000000001,183
2017-05-03,83.33745,217
2017-05-04,35.94039,159
2017-05-05,33.652770000000004,180
2017-05-06,34.62965,187
2017-05-07,33.98046,166
2017-05-08,27.37108,108
2017-05-09,36.92345,122
2017-05-10,20.66279,65
2017-05-11,19.89612,51
2017-05-12,17.472479999999997,58
